,Depth##length##inches,Width##length##inches,Keynote##other##
1x3R,3,1,06 01 10.A1
1x4R,4,1,06 01 10.A2
1x6R,6,1,06 01 10.A3
1x8R,8,1,06 01 10.A4
1x10R,10,1,06 01 10.A5
1x12R,12,1,06 01 10.A6
2x3R,3,2,06 01 10.B1
2x4R,4,2,06 01 10.B2
2x6R,6,2,06 01 10.B3
2x8R,8,2,06 01 10.B4
2x10R,10,2,06 01 10.B5
2x12R,12,2,06 01 10.B6
2x14R,14,2,06 01 10.B7
3x4R,4,3,06 01 10.C1
3x6R,6,3,06 01 10.C2
3x8R,8,3,06 01 10.C3
3x10R,10,3,06 01 10.C4
3x12R,12,3,06 01 10.C5
3x14R,14,3,06 01 10.C6
3x16R,16,3,06 01 10.C7
4x4R,4,4,06 01 10.D1
4x6R,6,4,06 01 10.D2
4x8R,8,4,06 01 10.D3
4x10R,10,4,06 01 10.D4
4x12R,12,4,06 01 10.D5
4x14R,14,4,06 01 10.D6
4x16R,16,4,06 01 10.D7
6x6R,6,6,06 01 10.E1
6x8R,8,6,06 01 10.E2
6x10R,10,6,06 01 10.E3
6x12R,12,6,06 01 10.E4
6x14R,14,6,06 01 10.E5
6x16R,16,6,06 01 10.E6
8x8R,8,8,06 01 10.F1
8x10R,10,8,06 01 10.F2
8x12R,12,8,06 01 10.F3
8x14R,14,8,06 01 10.F4
8x16R,16,8,06 01 10.F5
10x10R,10,10,06 01 10.G1
10x12R,12,10,06 01 10.G2
10x14R,14,10,06 01 10.G3
10x16R,16,10,06 01 10.G4
12x12R,12,12,06 01 10.H1
12x14R,14,12,06 01 10.H2
12x16R,16,12,06 01 10.H3
14x14R,14,14,06 01 10.I1
14x16R,16,14,06 01 10.I2
16x16R,16,16,06 01 10.J1
