,Depth##length##inches,Width##length##inches,Keynote##other##
4x4,3.5,3.5,06 13 23.A1
4x6,5.5,3.5,06 13 23.A2
4x8,7.25,3.5,06 13 23.A3
4x10,9.25,3.5,06 13 23.A4
4x12,11.25,3.5,06 13 23.A5
4x14,13.5,3.5,06 13 23.A6
4x16,15.5,3.5,06 13 23.A7
6x6,5.5,5.5,06 13 23.B1
6x8,7.25,5.5,06 13 23.B2
6x10,9.25,5.5,06 13 23.B3
6x12,11.25,5.5,06 13 23.B4
6x14,13.5,5.5,06 13 23.B5
6x16,15.5,5.5,06 13 23.B6
8x8,7.25,7.25,06 13 23.C1
8x10,9.25,7.25,06 13 23.C2
8x12,11.25,7.25,06 13 23.C3
8x14,13.5,7.25,06 13 23.C4
8x16,15.5,7.25,06 13 23.C5
10x10,9.25,9.25,06 13 23.D1
10x12,11.25,9.25,06 13 23.D2
10x14,13.5,9.25,06 13 23.D3
10x16,15.5,9.25,06 13 23.D4
12x12,11.25,11.25,06 13 23.E1
12x14,13.5,11.25,06 13 23.E2
12x16,15.5,11.25,06 13 23.E3
14x14,13.5,13.25,06 13 23.F1
14x16,15.5,13.25,06 13 23.F2
16x16,15.5,15.25,06 13 23.G1
