,Width##length##inches,Height##length##inches,Stiles##length##inches
12"" x 80"",12,80,2.375
14"" x 80"",14,80,2.375
16"" x 80"",16,80,2.375
18"" x 80"",18,80,4.75
20"" x 80"",20,80,4.75
22"" x 80"",22,80,4.75
24"" x 80"",24,80,4.75
26"" x 80"",26,80,4.75
28"" x 80"",28,80,4.75
30"" x 80"",30,80,4.75
32"" x 80"",32,80,4.75
34"" x 80"",34,80,4.75
36"" x 80"",36,80,4.75
12"" x 84"",12,84,2.375
14"" x 84"",14,84,2.375
16"" x 84"",16,84,2.375
18"" x 84"",18,84,4.75
20"" x 84"",20,84,4.75
22"" x 84"",22,84,4.75
24"" x 84"",24,84,4.75
26"" x 84"",26,84,4.75
28"" x 84"",28,84,4.75
30"" x 84"",30,84,4.75
32"" x 84"",32,84,4.75
34"" x 84"",34,84,4.75
36"" x 84"",36,84,4.75
12"" x 96"",12,96,2.375
14"" x 96"",14,96,2.375
16"" x 96"",16,96,2.375
18"" x 96"",18,96,4.75
20"" x 96"",20,96,4.75
22"" x 96"",22,96,4.75
24"" x 96"",24,96,4.75
26"" x 96"",26,96,4.75
28"" x 96"",28,96,4.75
30"" x 96"",30,96,4.75
32"" x 96"",32,96,4.75
34"" x 96"",34,96,4.75
36"" x 96"",36,96,4.75
