,Width##length##inches,Height##length##inches
12"" x 80"",12,80
14"" x 80"",14,80
16"" x 80"",16,80
18"" x 80"",18,80
20"" x 80"",20,80
22"" x 80"",22,80
24"" x 80"",24,80
26"" x 80"",26,80
28"" x 80"",28,80
30"" x 80"",30,80
32"" x 80"",32,80
34"" x 80"",34,80
36"" x 80"",36,80
12"" x 84"",12,84
14"" x 84"",14,84
16"" x 84"",16,84
18"" x 84"",18,84
20"" x 84"",20,84
22"" x 84"",22,84
24"" x 84"",24,84
26"" x 84"",26,84
28"" x 84"",28,84
30"" x 84"",30,84
32"" x 84"",32,84
34"" x 84"",34,84
36"" x 84"",36,84
12"" x 96"",12,96
14"" x 96"",14,96
16"" x 96"",16,96
18"" x 96"",18,96
20"" x 96"",20,96
22"" x 96"",22,96
24"" x 96"",24,96
26"" x 96"",26,96
28"" x 96"",28,96
30"" x 96"",30,96
32"" x 96"",32,96
34"" x 96"",34,96
36"" x 96"",36,96
