,Width##LENGTH##INCHES,Length##LENGTH##INCHES,Depth##LENGTH##INCHES,Type Comments##OTHER##
42"" x 42"" x 24"",42,42,24,42"" x 42"" x 24"" L with Square End Corner Angled Standing Desk
48"" x 42"" x 24"",42,48,24,48"" x 42"" x 24"" L with Square End Corner Angled Standing Desk
54"" x 42"" x 24"",42,54,24,54"" x 42"" x 24"" L with Square End Corner Angled Standing Desk
60"" x 42"" x 24"",42,60,24,60"" x 42"" x 24"" L with Square End Corner Angled Standing Desk
72"" x 42"" x 24"",42,72,24,72"" x 42"" x 24"" L with Square End Corner Angled Standing Desk
42"" x 48"" x 24"",48,42,24,42"" x 48"" x 24"" L with Square End Corner Angled Standing Desk
48"" x 48"" x 24"",48,48,24,48"" x 48"" x 24"" L with Square End Corner Angled Standing Desk
54"" x 48"" x 24"",48,54,24,54"" x 48"" x 24"" L with Square End Corner Angled Standing Desk
60"" x 48"" x 24"",48,60,24,60"" x 48"" x 24"" L with Square End Corner Angled Standing Desk
72"" x 48"" x 24"",48,72,24,72"" x 48"" x 24"" L with Square End Corner Angled Standing Desk
42"" x 54"" x 24"",54,42,24,42"" x 54"" x 24"" L with Square End Corner Angled Standing Desk
48"" x 54"" x 24"",54,48,24,48"" x 54"" x 24"" L with Square End Corner Angled Standing Desk
54"" x 54"" x 24"",54,54,24,54"" x 54"" x 24"" L with Square End Corner Angled Standing Desk
60"" x 54"" x 24"",54,60,24,60"" x 54"" x 24"" L with Square End Corner Angled Standing Desk
72"" x 54"" x 24"",54,72,24,72"" x 54"" x 24"" L with Square End Corner Angled Standing Desk
42"" x 60"" x 24"",60,42,24,42"" x 60"" x 24"" L with Square End Corner Angled Standing Desk
48"" x 60"" x 24"",60,48,24,48"" x 60"" x 24"" L with Square End Corner Angled Standing Desk
54"" x 60"" x 24"",60,54,24,54"" x 60"" x 24"" L with Square End Corner Angled Standing Desk
60"" x 60"" x 24"",60,60,24,60"" x 60"" x 24"" L with Square End Corner Angled Standing Desk
72"" x 60"" x 24"",60,72,24,72"" x 60"" x 24"" L with Square End Corner Angled Standing Desk
42"" x 72"" x 24"",72,42,24,42"" x 72"" x 24"" L with Square End Corner Angled Standing Desk
48"" x 72"" x 24"",72,48,24,48"" x 72"" x 24"" L with Square End Corner Angled Standing Desk
54"" x 72"" x 24"",72,54,24,54"" x 72"" x 24"" L with Square End Corner Angled Standing Desk
60"" x 72"" x 24"",72,60,24,60"" x 72"" x 24"" L with Square End Corner Angled Standing Desk
72"" x 72"" x 24"",72,72,24,72"" x 72"" x 24"" L with Square End Corner Angled Standing Desk
