,Width##LENGTH##INCHES,Depth##LENGTH##INCHES,Type Comments##OTHER##
36"" x 24"",36,24,36"" x 24"" Rectangular Standing Desk
42"" x 24"",42,24,42"" x 24"" Rectangular Standing Desk
48"" x 24"",48,24,48"" x 24"" Rectangular Standing Desk
54"" x 24"",54,24,54"" x 24"" Rectangular Standing Desk
60"" x 24"",60,24,60"" x 24"" Rectangular Standing Desk
66"" x 24"",66,24,66"" x 24"" Rectangular Standing Desk
72"" x 24"",72,24,72"" x 24"" Rectangular Standing Desk
84"" x 24"",84,24,84"" x 24"" Rectangular Standing Desk
36"" x 30"",36,30,36"" x 30"" Rectangular Standing Desk
42"" x 30"",42,30,42"" x 30"" Rectangular Standing Desk
48"" x 30"",48,30,48"" x 30"" Rectangular Standing Desk
54"" x 30"",54,30,54"" x 30"" Rectangular Standing Desk
60"" x 30"",60,30,60"" x 30"" Rectangular Standing Desk
66"" x 30"",66,30,66"" x 30"" Rectangular Standing Desk
72"" x 30"",72,30,72"" x 30"" Rectangular Standing Desk
84"" x 30"",84,30,84"" x 30"" Rectangular Standing Desk
