,Duct Height##Other##Inches,Duct Width##Other##Inches,Pressure Drop##Other##,Number##Other##
16"x14",16,14,0.09,2
16"x16",16,16,0.09,2
16"x18",16,18,0.09,2
16"x20",16,20,0.09,2
16"x22",16,22,0.09,2
16"x24",16,24,0.09,2
16"x26",16,26,0.09,2
16"x28",16,28,0.09,2
16"x30",16,30,0.09,2
16"x32",16,32,0.09,2
16"x34",16,34,0.09,2
16x"36",16,36,0.09,2
16"x38",16,38,0.09,2
16"x40",16,40,0.09,2
16"x42",16,42,0.09,2
16"x44",16,44,0.09,2
16"x46",16,46,0.09,2
16"x48",16,48,0.09,2
16"x50",16,50,0.09,2
16"x52",16,52,0.09,2
16"x54",16,54,0.09,2
16"x56",16,56,0.09,2
16"x58",16,58,0.09,2
16"x60",16,60,0.09,2
16"x62",16,62,0.09,2
16"x64",16,64,0.09,2
16"x66",16,66,0.09,2
16"x68",16,68,0.09,2
16"x70",16,70,0.09,2
16"x72",16,72,0.09,2
24"x14",24,14,0.09,3
24"x16",24,16,0.09,3
24"x18",24,18,0.09,3
24"x20",24,20,0.09,3
24"x22",24,22,0.09,3
24"x24",24,24,0.09,3
24"x26",24,26,0.09,3
24"x28",24,28,0.09,3
24"x30",24,30,0.09,3
24"x32",24,32,0.09,3
24"x34",24,34,0.09,3
24"x36",24,36,0.09,3
24"x38",24,38,0.09,3
24"x40",24,40,0.09,3
24"x42",24,42,0.09,3
24"x44",24,44,0.09,3
24"x46",24,46,0.09,3
24"x48",24,48,0.09,3
24"x50",24,50,0.09,3
24"x52",24,52,0.09,3
24"x54",24,54,0.09,3
24"x56",24,56,0.09,3
24"x58",24,58,0.09,3
24"x60",24,60,0.09,3
24"x62",24,62,0.09,3
24"x64",24,64,0.09,3
24"x66",24,66,0.09,3
24"x68",24,68,0.09,3
24"x70",24,70,0.09,3
24"x72",24,72,0.09,3
32"x14",32,14,0.09,4
32"x16",32,16,0.09,4
32"x18",32,18,0.09,4
32"x20",32,20,0.09,4
32"x22",32,22,0.09,4
32"x24",32,24,0.09,4
32"x26",32,26,0.09,4
32"x28",32,28,0.09,4
32"x30",32,30,0.09,4
32"x32",32,32,0.09,4
32"x34",32,34,0.09,4
32"x36",32,36,0.09,4
32"x38",32,38,0.09,4
32"x40",32,40,0.09,4
32"x42",32,42,0.09,4
32"x44",32,44,0.09,4
32"x46",32,46,0.09,4
32"x48",32,48,0.09,4
32"x50",32,50,0.09,4
32"x52",32,52,0.09,4
32"x54",32,54,0.09,4
32"x56",32,56,0.09,4
32"x58",32,58,0.09,4
32"x60",32,60,0.09,4
32"x62",32,62,0.09,4
32"x64",32,64,0.09,4
32"x66",32,66,0.09,4
32"x68",32,68,0.09,4
32"x70",32,70,0.09,4
32"x72",32,72,0.09,4
40"x14",40,14,0.09,5
40"x16",40,16,0.09,5
40"x18",40,18,0.09,5
40"x20",40,20,0.09,5
40"x22",40,22,0.09,5
40"x24",40,24,0.09,5
40"x26",40,26,0.09,5
40"x28",40,28,0.09,5
40"x30",40,30,0.09,5
40"x32",40,32,0.09,5
40"x34",40,34,0.09,5
40"x36",40,36,0.09,5
40"x38",40,38,0.09,5
40"x40",40,40,0.09,5
40"x42",40,42,0.09,5
40"x44",40,44,0.09,5
40"x46",40,46,0.09,5
40"x48",40,48,0.09,5
40"x50",40,50,0.09,5
40"x52",40,52,0.09,5
40"x54",40,54,0.09,5
40"x56",40,56,0.09,5
40"x58",40,58,0.09,5
40"x60",40,60,0.09,5
40"x62",40,62,0.09,5
40"x64",40,64,0.09,5
40"x66",40,66,0.09,5
40"x68",40,68,0.09,5
40"x70",40,70,0.09,5
40"x72",40,72,0.09,5
48"x14",48,14,0.09,6
48"x16",48,16,0.09,6
48"x18",48,18,0.09,6
48"x20",48,20,0.09,6
48"x22",48,22,0.09,6
48"x24",48,24,0.09,6
48"x26",48,26,0.09,6
48"x28",48,26,0.09,6
48"x30",48,30,0.09,6
48"x32",48,32,0.09,6
48"x34",48,34,0.09,6
48"x36",48,36,0.09,6
48"x38",48,38,0.09,6
48"x40",48,40,0.09,6
48"x42",48,42,0.09,6
48"x44",48,44,0.09,6
48"x46",48,46,0.09,6
48"x48",48,48,0.09,6
48"x50",48,50,0.09,6
48"x52",48,52,0.09,6
48"x54",48,54,0.09,6
48"x56",48,56,0.09,6
48"x58",48,58,0.09,6
48"x60",48,60,0.09,6
48"x62",48,62,0.09,6
48"x64",48,64,0.09,6
48"x66",48,66,0.09,6
48"x68",48,68,0.09,6
48"x70",48,70,0.09,6
48"x72",48,72,0.09,6
