,Duct Width##hvac_duct_size##inches,Duct Height##hvac_duct_size##inches,Min Flow##other##,Max Flow##other##
4 x 4,4,4,24,120
4 x 6,4,6,36,180
4 x 8,4,8,48,240
4 x 10,4,10,60,300
4 x 12,4,12,72,360
4 x 14,4,14,84,420
4 x 16,4,16,96,480
4 x 18,4,18,108,540
4 x 20,4,20,120,600
4 x 22,4,22,132,660
4 x 24,4,24,144,720
4 x 26,4,26,156,780
4 x 28,4,28,168,840
4 x 30,4,30,180,900
4 x 32,4,32,192,960
4 x 34,4,34,204,1020
4 x 36,4,36,216,1080
4 x 38,4,38,228,1140
4 x 40,4,40,240,1200
4 x 42,4,42,252,1260
4 x 44,4,44,264,1320
4 x 46,4,46,276,1380
4 x 48,4,48,288,1440
6 x 4,6,4,36,180
6 x 6,6,6,57,266
6 x 8,6,8,68,374
6 x 10,6,10,102,476
6 x 12,6,12,123,574
6 x 14,6,14,144,672
6 x 16,6,16,171,798
6 x 18,6,18,189,882
6 x 20,6,20,216,1008
6 x 22,6,22,231,1078
6 x 24,6,24,264,1232
6 x 26,6,26,234,1170
6 x 28,6,28,252,1260
6 x 30,6,30,333,1554
6 x 32,6,32,365,1632
6 x 34,6,34,388,1734
6 x 36,6,36,405,1890
6 x 38,6,38,433,1938
6 x 40,6,40,456,2040
6 x 42,6,42,477,2226
6 x 44,6,44,502,2244
6 x 46,6,46,524,2346
6 x 48,6,48,546,2548
8 x 4,8,4,61,272
8 x 6,8,6,68,374
8 x 8,8,8,111,518
8 x 10,8,10,152,680
8 x 12,8,12,171,798
8 x 14,8,14,213,952
8 x 16,8,16,243,1088
8 x 18,8,18,264,1232
8 x 20,8,20,304,1360
8 x 22,8,22,334,1496
8 x 24,8,24,365,1632
8 x 26,8,26,395,1768
8 x 28,8,28,426,1904
8 x 30,8,30,447,2086
8 x 32,8,32,486,2176
8 x 34,8,34,517,2312
8 x 36,8,36,546,2548
8 x 38,8,38,578,2584
8 x 40,8,40,608,2720
8 x 42,8,42,642,2996
8 x 44,8,44,669,2992
8 x 46,8,46,699,3128
8 x 48,8,48,738,3444
10 x 4,10,4,76,340
10 x 6,10,6,102,476
10 x 8,10,8,152,680
10 x 10,10,10,177,826
10 x 12,10,12,216,1008
10 x 14,10,14,266,1190
10 x 16,10,16,304,1360
10 x 18,10,18,333,1554
