,Diffuser Length##length##inches,Duct Diameter##Other##,Slot Number##Other##,Slot Width##length##inches,Diffuser Width##length##inches,Flow##Other##,Pressure Drop##Other##
24"x2"-6 In Inlet 1-Slot,24,6,1,1/2,2,50,0.069
48"x2"-6 In Inlet 1-Slot,48,6,1,1/2,2,80,0.044
48"x2"-8 In Inlet 1-slot,48,8,1,1/2,2,95,0.059
60"x2"-6 In Inlet 1-Slot,60,6,1,1/2,2,95,0.045
60"x2"-8 In Inlet 1-Slot,60,6,1,1/2,2,95,0.045
24"x2 1/4"-6 In Inlet 1-Slot,24,6,1,3/4,2.25,50,0.069
24"x2 1/4"-8 In Inlet 1-Slot,24,8,1,3/4,2.25,60,0.125
48"x2 1/4"-6 In Inlet 1-Slot,48,6,1,3/4,2.25,80,0.044
48"x2 1/4"-8 In Inlet 1-Slot,48,8,1,3/4,2.25,95,0.059
60"x2 1/4"-8 In Inlet 1-Slot,60,8,1,3/4,2.25,125,0.077
24"x2 1/2"-6 In Inlet 1-Slot,24,6,1,1,2.5,50,0.069
24"x2 1/2"-8 In Inlet 1-Slot,24,8,1,1,2.5,60,0.125
48"x2 1/2"-6 In Inlet 1-Slot,48,6,1,1,2.5,95,0.044
48"x2 1/2"-8 In Inlet 1-Slot,48,8,1,1,2.5,110,0.059
60"x2 1/2"-6 In Inlet 1-Slot,60,6,1,1,2.5,125,0.077
24"x3 1/4"-6 In Inlet 2-Slot,24,6,2,1/2,3.25,80,0.055
48"x3 1/4"-6 In Inlet 2-Slot,48,6,2,1/2,3.25,120,0.071
48"x3 1/4"-8 In Inlet 2-Slot,48,8,2,1/2,3.25,140,0.054
60"x3 1/4"-8 In Inlet 2-Slot,60,8,2,1/2,3.25,180,0.044
24"x3 3/4"-6 In Inlet 2-Slot,24,6,2,3/4,3.75,95,0.078
24"x3 3/4"-8 In Inlet 2-Slot,24,8,2,3/4,3.75,110,0.084
48"x3 3/4"-6 In Inlet 2-Slot,48,6,2,3/4,3.75,120,0.071
48"x3 3/4"-8 In Inlet 2-Slot,48,8,2,3/4,3.75,140,0.054
60"x3 3/4"-8 In Inlet 2-Slot,60,8,2,3/4,3.75,200,0.089
24"x4 1/4"-6 In Inlet 2-Slot,24,6,2,1,4.25,95,0.078
24"x4 1/4"-8 In Inlet 2-Slot,24,8,2,1,4.25,110,0.084
48"x4 1/4"-6 In Inlet 2-Slot,48,6,2,1,4.25,160,0.126
48"x4 1/4"-8 In Inlet 2-Slot,48,8,2,1,4.25,180,0.090
60"x4 1/4"-6 In Inlet 2-Slot,60,6,2,1,4.25,220,0.089
24"x5 1/4"-6 In Inlet 3-Slot,24,6,3,3/4,5.25,120,0.086
24"x5 1/4"-8 In Inlet 3-Slot,24,8,3,3/4,5.25,140,0.075
48"x5 1/4"-6 In Inlet 3-Slot,48,6,3,3/4,5.25,200,0.154
48"x5 1/4"-8 In Inlet 3-Slot,48,8,3,3/4,5.25,225,0.103
60"x5 1/4"-8 In Inlet 3-Slot,60,8,3,3/4,5.25,270,0.126
24"x6"-6 In Inlet 3-Slot,24,6,3,1,6,120,0.086
24"x6"-8 In Inlet 3-Slot,24,8,3,1,6,140,0.075
48"x6"-6 In Inlet 3-Slot,48,6,3,1,6,200,0.154
48"x6"-8 In Inlet 3-Slot,48,8,3,1,6,225,0.103
60"x6"-8 In Inlet 3-Slot,60,8,3,1,6,270,0.126
24"x6 3/4"-6 In Inlet 4-Slot,24,6,4,3/4,6.75,150,0.106
24"x6 3/4"-8 In Inlet 4-Slot,24,8,4,3/4,6.75,175,0.077
48"x6 3/4"-6 In Inlet 4-Slot,48,6,4,3/4,6.75,250,0.222
48"x6 3/4"-8 In Inlet 4-Slot,48,8,4,3/4,6.75,280,0.126
60"x6 3/4"-8 In Inlet 4-Slot,60,8,4,3/4,6.75,340,0.172
24"x7 3/4"-6 In Inlet 4-Slot,24,6,4,1,7.75,150,0.106
24"x7 3/4"-8 In Inlet 4-Slot,24,8,4,1,7.75,175,0.077
48"x7 3/4"-6 In Inlet 4-Slot,48,6,4,1,7.75,250,0.222
48"x7 3/4"-8 In Inlet 4-Slot,48,8,4,1,7.75,280,0.126
60"x7 3/4"-6 In Inlet 4-Slot,60,6,4,1,7.75,340,0.172


