,Duct Diameter##LENGTH##INCHES,Duct Width##HVAC_DUCT_SIZE##INCHES,Duct Height##HVAC_DUCT_SIZE##INCHES,Pressure Drop##HVAC_PRESSURE##INCHES_OF_WATER,Air Flow##HVAC_AIR_FLOW##CUBIC_FEET_PER_MINUTE
"10x3" Connection 6 Diameter Duct,6,10,3,0.017,300
"12x3" Connection 6 Diameter Duct,6,12,3,0.017,300
"14x3" Connection 6 Diameter Duct,6,14,3,0.017,300
"16x3" Connection 6 Diameter Duct,6,16,3,0.017,300
"18x3" Connection 6 Diameter Duct,6,18,3,0.017,300
"20x3" Connection 6 Diameter Duct,6,20,3,0.017,300
"24x3" Connection 6 Diameter Duct,6,24,3,0.017,300
"30x3" Connection 6 Diameter Duct,6,30,3,0.017,300
"36x3" Connection 6 Diameter Duct,6,36,3,0.017,300
"42x3" Connection 6 Diameter Duct,6,42,3,0.017,300
"48x3" Connection 6 Diameter Duct,6,48,3,0.017,300
"10x4" Connection 6 Diameter Duct,8,10,4,0.03,400
"12x4" Connection 8 Diameter Duct,8,12,4,0.03,400
"14x4" Connection 8 Diameter Duct,8,14,4,0.03,400
"16x4" Connection 8 Diameter Duct,8,16,4,0.03,400
"18x4" Connection 8 Diameter Duct,8,18,4,0.03,400
"20x4" Connection 8 Diameter Duct,8,20,4,0.03,400
"24x4" Connection 8 Diameter Duct,8,24,4,0.03,400
"30x4" Connection 8 Diameter Duct,8,30,4,0.03,400
"36x4" Connection 8 Diameter Duct,8,36,4,0.03,400
"42x4" Connection 8 Diameter Duct,8,42,4,0.03,400
"48x4" Connection 8 Diameter Duct,8,48,4,0.03,400
"10x6" Connection 10 Diameter Duct,10,10,6,0.046,500
"12x6" Connection 10 Diameter Duct,10,12,6,0.046,500
"14x6" Connection 10 Diameter Duct,10,14,6,0.046,500
"16x6" Connection 10 Diameter Duct,10,16,6,0.046,500
"18x6" Connection 10 Diameter Duct,10,18,6,0.046,500
"20x6" Connection 10 Diameter Duct,10,20,6,0.046,500
"24x6" Connection 10 Diameter Duct,10,24,6,0.046,500
"30x6" Connection 10 Diameter Duct,10,30,6,0.046,500
"36x6" Connection 10 Diameter Duct,10,36,6,0.046,500
"42x6" Connection 10 Diameter Duct,10,42,6,0.046,500
"48x6" Connection 10 Diameter Duct,10,48,6,0.046,500
"14x8" Connection 12 Diameter Duct,12,14,8,0.067,600
"16x8" Connection 12 Diameter Duct,12,16,8,0.067,600
"18x8" Connection 12 Diameter Duct,12,18,8,0.067,600
"20x8" Connection 12 Diameter Duct,12,20,8,0.067,600
"24x8" Connection 12 Diameter Duct,12,24,8,0.067,600
"30x8" Connection 12 Diameter Duct,12,30,8,0.067,600
"36x8" Connection 12 Diameter Duct,12,36,8,0.067,600
"42x8" Connection 12 Diameter Duct,12,42,8,0.067,600
"48x8" Connection 12 Diameter Duct,12,48,8,0.067,600
"16x10" Connection 14 Diameter Duct,14,16,10,0.091,700
"18x10" Connection 14 Diameter Duct,14,18,10,0.091,700
"20x10" Connection 14 Diameter Duct,14,20,10,0.091,700
"24x10" Connection 14 Diameter Duct,14,24,10,0.091,700
"30x10" Connection 14 Diameter Duct,14,30,10,0.091,700
"36x10" Connection 14 Diameter Duct,14,36,10,0.091,700
"42x10" Connection 14 Diameter Duct,14,42,10,0.091,700
"48x10" Connection 14 Diameter Duct,14,48,10,0.091,700
"18x12" Connection 16 Diameter Duct,16,18,12,0.119,800
"20x12" Connection 16 Diameter Duct,16,20,12,0.119,800
"24x12" Connection 16 Diameter Duct,16,24,12,0.119,800
"30x12" Connection 16 Diameter Duct,16,30,12,0.119,800
"36x12" Connection 16 Diameter Duct,16,36,12,0.119,800
