,Duct Width##HVAC_DUCT_SIZE##INCHES,Duct Height##HVAC_DUCT_SIZE##INCHES,Pressure Drop##HVAC_PRESSURE##INCHES_OF_WATER,Air Flow##HVAC_AIR_FLOW##CUBIC_FEET_PER_MINUTE
"10x3",10,3,0.023,300
"12x3",12,3,0.023,300
"14x3",14,3,0.023,300
"16x3",16,3,0.023,300
"18x3",18,3,0.023,300
"20x3",20,3,0.023,300
"24x3",24,3,0.023,300
"30x3",30,3,0.023,300
"36x3",36,3,0.023,300
"42x3",42,3,0.023,300
"48x3",48,3,0.023,300
"10x4",10,4,0.04,400
"12x4",12,4,0.04,400
"14x4",14,4,0.04,400
"16x4",16,4,0.04,400
"18x4",18,4,0.04,400
"20x4",20,4,0.04,400
"24x4",24,4,0.04,400
"30x4",30,4,0.04,400
"36x4",36,4,0.04,400
"42x4",42,4,0.04,400
"48x4",48,4,0.04,400
"10x6",10,6,0.063,500
"12x6",12,6,0.063,500
"14x6",14,6,0.063,500
"16x6",16,6,0.063,500
"18x6",18,6,0.063,500
"20x6",20,6,0.063,500
"24x6",24,6,0.063,500
"30x6",30,6,0.063,500
"36x6",36,6,0.063,500
"42x6",42,6,0.063,500
"48x6",48,6,0.063,500
"14x8",14,8,0.091,600
"16x8",16,8,0.091,600
"18x8",18,8,0.091,600
"20x8",20,8,0.091,600
"24x8",24,8,0.091,600
"30x8",30,8,0.091,600
"36x8",36,8,0.091,600
"42x8",42,8,0.091,600
"48x8",48,8,0.091,600
"16x10",16,10,0.123,700
"18x10",18,10,0.123,700
"20x10",20,10,0.123,700
"24x10",24,10,0.123,700
"30x10",30,10,0.123,700
"36x10",36,10,0.123,700
"42x10",42,10,0.123,700
"48x10",48,10,0.123,700
