,Duct Width##Other##inches,Duct Height##Other##inches,Duct Diameter##Other##inches,Plenum Length##Other##inches
10x10-5,10,10,5,10
10x10-6,10,10,6,10
10x10-8,10,10,8,10
12x10-5,12,10,5,10
12x10-6,12,10,6,10
12x10-8,12,10,8,10
14x10-5,14,10,5,10
14x10-6,14,10,6,10
14x10-8,14,10,8,10
16x10-5,16,10,5,10
16x10-6,16,10,6,10
16x10-8,16,10,8,10
18x10-5,18,10,5,10
18x10-6,18,10,6,10
18x10-8,18,10,8,10
20x10-6,20,10,6,10
20x10-8,20,10,8,10
22x10-6,22,10,6,10
22x10-8,22,10,8,10
12x12-6,12,12,6,12
14x12-8,14,12,8,12
14x12-10,14,12,10,12
14x12-6,14,12,6,12
14x12-8,14,12,8,12
14x12-10,14,12,10,12
16x12-6,16,12,6,12
16x12-8,16,12,8,12
16x12-10,16,12,10,12
18x12-8,18,12,8,12
18x12-10,18,12,10,12
20x12-8,20,12,8,12
20x12-10,20,12,10,12
22x12-8,22,12,8,12
22x12-10,22,12,10,12
24x12-10,24,12,10,12
28x12-10,28,12,10,12
10x14-8,10,14,8,14
10x14-10,10,14,10,14
10x14-12,10,14,12,14
12x14-8,12,14,8,14
12x14-10,12,14,10,14
12x14-12,12,14,12,14
14x14-8,14,14,8,14
14x14-10,14,14,10,14
14x14-12,14,14,12,14
16x14-8,16,14,8,14
16x14-10,16,14,10,14
16x14-12,16,14,12,14
18x14-8,18,14,8,14
18x14-10,18,14,10,14
18x14-12,18,14,12,14
20x14-8,20,14,8,14
20x14-10,20,14,10,14
20x14-12,20,14,12,14
22x14-8,22,14,8,14
22x14-10,22,14,10,14
22x14-12,22,14,12,14
24x14-10,24,14,10,14
24x14-12,24,14,12,14
26x14-10,26,14,10,14
26x14-12,26,14,12,14
28x14-10,28,14,10,14
28x14-12,28,14,12,14
30x14-12,30,14,12,14
32x14-12,32,14,12,14
34x14-12,34,14,12,14
12x16-10,12,16,10,16
14x16-10,14,16,10,16
14x16-12,14,16,12,16
16x16-10,16,16,10,16
16x16-12,16,16,12,16
16x16-14,16,16,14,16
18x16-10,18,16,10,16
18x16-12,18,16,12,16
18x16-14,18,16,14,16
20x16-10,20,16,10,16
20x16-12,20,16,12,16
20x16-14,20,16,14,16
22x16-10,22,16,10,16
22x16-12,22,16,12,16
22x16-14,22,16,14,16
24x16-10,24,16,10,16
24x16-12,24,16,12,16
24x16-14,24,16,14,16
26x16-10,26,16,10,16
26x16-12,26,16,12,16
26x16-14,26,16,14,16
28x16-10,28,16,10,16
28x16-12,28,16,12,16
28x16-14,28,16,14,16
30x16-12,30,16,14,16
32x16-12,32,16,12,16
32x16-14,32,16,14,16
34x16-12,34,16,12,16
34x16-14,34,16,14,16
36x16-14,36,16,14,16
38x16-14,38,16,14,16
40x16-14,40,16,14,16
12x18-12,12,18,12,18
14x18-12,14,18,12,18
14x18-14,14,18,14,18
16x18-12,16,18,12,18
16x18-14,16,18,14,18
16x18-16,16,18,16,18
18x18-12,18,18,12,18
18x18-14,18,18,14,18
18x18-16,18,18,16,18
18x18-18,18,18,18,18
20x18-12,20,18,12,18
20x18-14,20,18,14,18
20x18-16,20,18,16,18
20x18-18,20,18,18,18
22x18-12,22,18,12,18
22x18-14,22,18,14,18
22x18-16,22,18,16,18
22x18-18,22,18,18,18
24x18-12,24,18,12,18
24x18-14,24,18,14,18
24x18-16,24,18,16,18
24x18-18,24,18,18,18
26x18-12,26,18,12,18
26x18-14,26,18,14,18
26x18-16,26,18,16,18
26x18-18,26,18,18,18
28x18-12,28,18,12,18
28x18-14,28,18,14,18
28x18-16,28,18,16,18
28x18-18,28,18,18,18
30x18-12,30,18,12,18
30x18-14,30,18,14,18
30x18-16,30,18,16,18
30x18-18,30,18,18,18
32x18-12,32,18,12,18
32x18-14,32,18,14,18
32x18-16,32,18,16,18
32x18-18,32,18,18,18
34x18-12,34,18,12,18
34x18-14,34,18,14,18
34x18-16,34,18,16,18
34x18-18,34,18,18,18
36x18-14,36,18,14,18
36x18-16,36,18,16,18
36x18-18,36,18,18,18
38x18-14,38,18,14,18
38x18-16,38,18,16,18
38x18-18,38,18,18,18
40x18-14,40,18,14,18
40x18-16,40,18,16,18
40x18-18,40,18,18,18
42x18-16,42,18,16,18
42x18-18,42,18,18,18
44x18-16,44,18,16,18
44x18-18,44,18,18,18



