,Duct Width##Other##inches,Duct Height##Other##inches,Duct Radius 1##Other##inches,Duct Radius 2##Other##inches,Plenum Length##Other##inches
10x10-5,10,10,2.5,2.5,10
12x10-5,12,10,2.5,2.5,10
12x10-6,12,10,3,3,10
14x10-5,14,10,2.5,2.5,10
14x10-6,14,10,3,3,10
16x10-5,16,10,2.5,2.5,10
16x10-6,16,10,3,3,10
16x10-8,16,10,4,4,10
18x10-5,18,10,2.5,2.5,10
18x10-6,18,10,3,3,10
18x10-8,18,10,4,4,10
20x10-5,20,10,2.5,2.5,10
20x10-6,20,10,3,3,10
20x10-8,20,10,4,4,10
20x10-10,20,10,5,5,10
12x12-6,12,12,3,3,12
14x12-6,14,12,3,3,12
16x12-6,16,12,3,3,12
16x12-8,16,12,4,4,12
18x12-6,18,12,3,3,12
18x12-8,18,12,4,4,12
20x12-6,20,12,3,3,12
20x12-8,20,12,4,4,12
20x12-10,20,12,5,5,12
22x12-6,22,12,3,3,12
22x12-8,22,12,4,4,12
22x12-10,22,12,5,5,12
24x12-6,24,12,3,3,12
24x12-8,24,12,4,4,12
24x12-10,24,12,5,5,12
24x12-12,24,12,6,6,12
16x14-8,16,14,4,4,14
18x14-8,18,14,4,4,14
20x14-8,20,14,4,4,14
20x14-10,20,14,5,5,14
22x14-8,22,14,4,4,14
22x14-10,22,14,5,5,14
24x14-8,24,14,4,4,14
24x14-10,24,14,5,5,14
24x14-12,24,14,6,6,14
26x14-8,26,14,4,4,14
26x14-10,26,14,5,5,14
26x14-12,26,14,6,6,14
28x14-8,28,14,4,4,14
28x14-10,28,14,5,5,14
28x14-12,28,14,6,6,14
28x14-14,28,14,7,7,14
20x16-10,20,16,5,5,16
22x16-10,22,16,5,5,16
24x16-10,24,16,5,5,16
24x16-12,24,16,6,6,16
26x16-10,26,16,5,5,16
26x16-12,26,16,6,6,16
28x16-10,28,16,5,5,16
28x16-12,28,16,6,6,16
28x16-14,28,16,7,7,16
30x16-10,30,16,5,5,16
30x16-12,30,16,6,6,16
30x16-14,30,16,7,7,16
32x16-10,32,16,5,5,16
32x16-12,32,16,6,6,16
32x16-14,32,16,7,7,16
32x16-16,32,16,6.5,6.5,16
24x18-12,24,18,6,6,18
26x18-12,26,18,6,6,18
28x18-12,28,18,6,6,18
28x18-14,28,18,7,7,18
30x18-12,30,18,6,6,18
30x18-14,30,18,7,7,18
32x18-12,32,18,6,6,18
32x18-14,32,18,7,7,18
32x18-16,32,18,6.5,6.5,18
34x18-12,34,18,6,6,18
34x18-14,34,18,7,7,18
34x18-16,34,18,6.5,6.5,18
36x18-12,36,18,6,6,18
36x18-14,36,18,7,7,18
36x18-16,36,18,6.5,6.5,18
36x18-18,36,18,7,7,18
38x18-18,38,18,7,7,18
40x18-18,40,18,7,7,18
42x18-18,42,18,7,7,18
44x18-18,44,18,7,7,18
46x18-18,46,18,7,7,18
48x18-18,48,18,7,7,18
