,Duct Width##Other##inches,Duct Height##Other##inches,Duct Radius##Other##inches,Plenum Length##Other##inches
10x10-5,10,10,2.5,10
10x10-6,10,10,3,10
10x10-8,10,10,4,10
12x10-5,12,10,2.5,10
12x10-6,12,10,3,10
12x10-8,12,10,4,10
14x10-5,14,10,2.5,10
14x10-6,14,10,3,10
14x10-8,14,10,4,10
16x10-5,16,10,2.5,10
16x10-6,16,10,3,10
16x10-8,16,10,4,10
18x10-5,18,10,2.5,10
18x10-6,18,10,3,10
18x10-8,18,10,4,10
20x10-6,20,10,3,10
20x10-8,20,10,4,10
22x10-6,22,10,3,10
22x10-8,22,10,4,10
12x12-6,12,12,3,12
14x12-8,14,12,4,12
14x12-10,14,12,5,12
14x12-6,14,12,3,12
14x12-8,14,12,4,12
14x12-10,14,12,5,12
16x12-6,16,12,3,12
16x12-8,16,12,4,12
16x12-10,16,12,5,12
18x12-8,18,12,4,12
18x12-10,18,12,5,12
20x12-8,20,12,4,12
20x12-10,20,12,5,12
22x12-8,22,12,4,12
22x12-10,22,12,5,12
24x12-10,24,12,5,12
28x12-10,28,12,5,12
10x14-8,10,14,4,14
10x14-10,10,14,5,14
10x14-12,10,14,6,14
12x14-8,12,14,4,14
12x14-10,12,14,5,14
12x14-12,12,14,6,14
14x14-8,14,14,4,14
14x14-10,14,14,5,14
14x14-12,14,14,6,14
16x14-8,16,14,4,14
16x14-10,16,14,5,14
16x14-12,16,14,6,14
18x14-8,18,14,4,14
18x14-10,18,14,5,14
18x14-12,18,14,6,14
20x14-8,20,14,4,14
20x14-10,20,14,5,14
20x14-12,20,14,6,14
22x14-8,22,14,4,14
22x14-10,22,14,5,14
22x14-12,22,14,6,14
24x14-10,24,14,5,14
24x14-12,24,14,6,14
26x14-10,26,14,5,14
26x14-12,26,14,6,14
28x14-10,28,14,5,14
28x14-12,28,14,6,14
30x14-12,30,14,6,14
32x14-12,32,14,6,14
34x14-12,34,14,6,14
12x16-10,12,16,5,16
14x16-10,14,16,5,16
14x16-12,14,16,6,16
16x16-10,16,16,5,16
16x16-12,16,16,6,16
16x16-14,16,16,7,16
18x16-10,18,16,5,16
18x16-12,18,16,6,16
18x16-14,18,16,7,16
20x16-10,20,16,5,16
20x16-12,20,16,6,16
20x16-14,20,16,7,16
22x16-10,22,16,5,16
22x16-12,22,16,6,16
22x16-14,22,16,7,16
24x16-10,24,16,5,16
24x16-12,24,16,6,16
24x16-14,24,16,7,16
26x16-10,26,16,5,16
26x16-12,26,16,6,16
26x16-14,26,16,7,16
28x16-10,28,16,5,16
28x16-12,28,16,6,16
28x16-14,28,16,7,16
30x16-12,30,16,7,16
32x16-12,32,16,6,16
32x16-14,32,16,7,16
34x16-12,34,16,6,16
34x16-14,34,16,7,16
36x16-14,36,16,7,16
38x16-14,38,16,7,16
40x16-14,40,16,7,16
12x18-12,12,18,6,18
14x18-12,14,18,6,18
14x18-14,14,18,7,18
16x18-12,16,18,6,18
16x18-14,16,18,7,18
16x18-16,16,18,6.5,18
18x18-12,18,18,6,18
18x18-14,18,18,7,18
18x18-16,18,18,6.5,18
18x18-18,18,18,7,18
20x18-12,20,18,6,18
20x18-14,20,18,7,18
20x18-16,20,18,6.5,18
20x18-18,20,18,7,18
22x18-12,22,18,6,18
22x18-14,22,18,7,18
22x18-16,22,18,6.5,18
22x18-18,22,18,7,18
24x18-12,24,18,6,18
24x18-14,24,18,7,18
24x18-16,24,18,6.5,18
24x18-18,24,18,7,18
26x18-12,26,18,6,18
26x18-14,26,18,7,18
26x18-16,26,18,6.5,18
26x18-18,26,18,7,18
28x18-12,28,18,6,18
28x18-14,28,18,7,18
28x18-16,28,18,6.5,18
28x18-18,28,18,7,18
30x18-12,30,18,6,18
30x18-14,30,18,7,18
30x18-16,30,18,6.5,18
30x18-18,30,18,7,18
32x18-12,32,18,6,18
32x18-14,32,18,7,18
32x18-16,32,18,6.5,18
32x18-18,32,18,7,18
34x18-12,34,18,6,18
34x18-14,34,18,7,18
34x18-16,34,18,6.5,18
34x18-18,34,18,7,18
36x18-14,36,18,7,18
36x18-16,36,18,6.5,18
36x18-18,36,18,7,18
38x18-14,38,18,7,18
38x18-16,38,18,6.5,18
38x18-18,38,18,7,18
40x18-14,40,18,7,18
40x18-16,40,18,6.5,18
40x18-18,40,18,7,18
42x18-16,42,18,6.5,18
42x18-18,42,18,7,18
44x18-16,44,18,6.5,18
44x18-18,44,18,7,18
