,Suction Nominal Radius##PIPE_SIZE##INCHES,Width##LENGTH##INCHES,Length##LENGTH##INCHES,Height##LENGTH##INCHES,Discharge Z Offset##LENGTH##INCHES,Center to Suction End##LENGTH##INCHES,Chamber Width##LENGTH##INCHES,Chamber Length##LENGTH##INCHES,Flange Diameter##LENGTH##INCHES,Flange Thickness##LENGTH##INCHES
22.5 GPM - 175 psi,1,11.6,65.44,11.28,4.48,10.8,10,30,5.08,0.572
22.5 GPM - 350 psi,1.25,11.6,83.36,11.8,5,10.8,10,30,7.12,0.7
45 GPM - 175 psi,1.25,11.6,71.88,12.4,5,12.8,10,30,7.12,0.7
45 GPM - 350 psi,1.5,11.6,95.44,13.4,6,12.8,10,30,7.64,0.76
77 GPM - 175 psi,1.5,16,88.64,15,6,12.8,14.4,40,7.64,0.76
77 GPM - 350 psi,2,16,116.92,15.28,6.4,12.8,14.4,40,9.16,0.952
125 GPM - 175 psi,2.5,16,96.4,16.6,7,12.8,14.4,40,10.16,0.952
125 GPM - 350 psi,3,16,134.08,18.6,9,12.8,14.4,40,11.16,1.016
150 GPM - 175 psi,4,16,103.36,20.2,9,14,14.4,40,13.72,1.144
150 GPM - 350 psi,4,16,141.32,20.2,9,14,14.4,40,13.72,1.144
176 GPM - 175 psi,4,16,110.72,20.2,9,14,14.4,40,13.72,1.144
216 GPM - 175 psi,5,16,124,22,10,14,14.4,40,16.24,1.208
