,Suction Nominal Radius##PIPE_SIZE##INCHES,Width##LENGTH##INCHES,Length##LENGTH##INCHES,Height##LENGTH##INCHES,Discharge Height##LENGTH##INCHES,Suction Y Offset##LENGTH##INCHES,Flange Thickness##LENGTH##INCHES
64 GPM - 87.1 psi,1.25,8,47.6,9.08,4.48,38.4,0.7
64 GPM - 174.2 psi,1.25,8,60.28,9.08,4.48,51.08,0.7
97 GPM - 58.1 psi,1.25,8,55.8,9.08,4.48,46.6,0.7
106 GPM - 87.1 psi,1.5,8,54.52,9.28,4.48,45.72,0.76
102 GPM - 174.2 psi,1.5,10,72.92,9.8,5,61.84,0.76
163 GPM - 58.1 psi,1.5,8,64.92,9.28,4.48,56.12,0.76
154 GPM - 87.1 psi,2,10,65,10.2,5,55.56,0.952
154 GPM - 174.2 psi,2,12,87.16,11.2,6,74.4,0.952
251 GPM - 58.1 psi,2,10,77.48,10.2,5,68.04,0.952
220 GPM - 87.1 psi,2.5,12,77.36,12.4,6,66.16,0.952
220 GPM - 174.2 psi,2.5,12,95.56,12.4,6,84.36,0.952
348 GPM - 58.1 psi,2.5,12,92.08,12.4,6,80.88,0.952
251 GPM - 87.1 psi,2.5,12,82.56,12.4,6,71.36,0.952
251 GPM - 174.2 psi,2.5,12,109.8,12.8,6,95.08,0.952
427 GPM - 58.1 psi,2.5,12,98.88,12.4,6,87.68,0.952
317 GPM - 87.1 psi,3,12,95.8,13.8,6.4,83.2,1.016
317 GPM - 174.2 psi,3,12,114.28,13.8,6.4,101.68,1.016
550 GPM - 58.1 psi,3,12,114.28,13.8,6.4,101.68,1.016
423 GPM - 87.1 psi,3,12,105.12,13.8,6.4,92.52,1.016
423 GPM - 174.2 psi,3,14,133.2,16.4,9,117.08,1.016
726 GPM - 58.1 psi,3,12,126.36,13.8,6.4,113.76,1.016
660 GPM - 87.1 psi,4,14,121.92,18,9,104.8,1.144
990 GPM - 174.2 psi,4,14,144.08,18,9,126.96,1.144
