,Length##LENGTH##INCHES,Base Width##LENGTH##INCHES,Height##LENGTH##INCHES,Connection End to End##LENGTH##INCHES,Base Length##LENGTH##INCHES,Body Z Offset##LENGTH##INCHES
DMX 24-8,12.08,4.72,12.4,7.12,7.2,3.42
DMX 52-8,12.08,4.72,12.4,7.12,7.2,3.42
DMX 100-8,12.08,4.72,12.4,7.12,7.2,3.42
DMX 142-8,12.08,4.72,12.4,7.12,7.2,3.42
DMX 37-5,12.08,4.72,12.4,7.52,7.2,3.42
DMX 82-5,12.08,4.72,12.4,7.52,7.2,3.42
DMX 160-5,12.08,4.72,12.4,7.52,7.2,3.42
DMX 224-5,12.08,4.72,12.4,7.52,7.2,3.42
DMX 60-3,12.08,4.72,12.4,8.32,7.2,3.42
DMX 130-3,12.08,4.72,12.4,8.32,7.2,3.42
DMX 255-3,12.08,4.72,12.4,8.32,7.2,3.42
DMX 380-3,12.08,4.72,12.4,8.32,7.2,3.42
DMX 67-10,15.2,6.4,14.88,7.12,7.6,4.92
DMX 132-10,15.2,6.4,14.88,7.12,7.6,4.92
DMX 190-10,15.2,6.4,14.88,7.12,7.6,4.92
DMX 190-8,15.2,6.4,14.88,7.12,7.6,4.92
DMX 95-8,15.2,6.4,14.88,7.52,7.6,4.92
DMX 199-8,15.2,6.4,14.88,7.52,7.6,4.92
DMX 280-8,15.2,6.4,14.88,7.52,7.6,4.92
DMX 280-6,15.2,6.4,14.88,7.52,7.6,4.92
DMX 152-6,15.2,6.4,14.88,7.52,7.6,4.92
DMX 321-6,15.2,6.4,14.88,8.32,7.6,4.92
DMX 321-4,15.2,6.4,14.88,8.32,7.6,4.92
DMX 460-6,15.2,6.4,14.88,8.32,7.6,4.92
DMX 460-3.5,15.2,6.4,14.88,8.32,7.6,4.92
DMX 249-3,15.56,6.4,15.6,9.6,7.6,4.92
DMX 315-3,15.56,6.4,15.6,9.6,7.6,4.92
DMX 525-3,15.56,6.4,15.6,9.6,7.6,4.92
DMX 765-3,15.56,6.4,15.6,9.6,7.6,4.92
