,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Depth##LENGTH##INCHES,Center to Front##LENGTH##INCHES,Center to Back##LENGTH##INCHES,Flange Diameter##LENGTH##INCHES,Flange Thickness##LENGTH##INCHES
"2.5""",1.25,12,25,4,14,5,7.1,0.7
"3""",1.5,12,25,5,15,5,7.6,0.8
"4""",2,13,26,6,16,5,9.2,1.0
"6""",3,18,28,7,20,7,11.2,1.0
"8""",4,24.5,30,10,22,9,13.7,1.1
"10""",5,26,31,11,24,10,16.2,1.2
"12""",6,31,32,13,26,12,19.3,1.3
"14""",7,33,34,15,27,15,21.3,1.4
"16""",8,36,37,16,30,15,23.9,1.5
"18""",9,40,40,20,32,18,25.4,1.6
"20""",10,40,40,20,34,18,28.0,1.7
"24""",12,48,45,22,36,24,32.5,1.9
"30""",15,60,60,24,42,29,39.4,2.2
"36""",18,63,65,30,50,34,46.7,2.4
