,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Depth##LENGTH##INCHES,Belly Radius##LENGTH##INCHES,Stem Diameter##LENGTH##INCHES,Actuator Y Offset##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS
"6""",3,15.75,30,9,8.25,2.5,21.75,280,23.9
"8""",4,18,30,10.125,9.5,2.5,23,345,27
"10""",5,10.125,30,11.875,11,3.25,24.25,405,28.6
"12""",6,21,30,12.75,12,3.25,25,485,30.2
"14""",7,26.25,38,15.5,14.875,4,28,535,33.4
"16""",8,27,38,16.25,16,4,31.5,595,35
"18""",9,29,38,19.25,18.5,4.5,33,635,38.1
"20""",10,32,38,20,18.25,4.5,35,700,41.3
"24""",12,37,50,23.5,24.125,5,40,800,47.625
"30""",15,46,50,29.75,26.5,6,50,950,50
