,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Depth##LENGTH##INCHES,Center to Front##LENGTH##INCHES,Cover Radius##LENGTH##INCHES,Center to Actuator End##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS
"6""",3,20,23,6.5,10,7,41,280,23.9
"8""",4,23.5,24,8.25,12.5,9.75,41,345,27
"10""",5,28.125,25,9.625,15,10.5,41,405,28.6
"12""",6,31,26,10.875,15.5,13,41,485,30.2
"14""",7,37,35,13,18.5,15,43,535,33.4
"16""",8,39,37,15,22,16.25,43,595,35
"18""",9,43.25,40,16.5,23,20,43,635,38.1
"20""",10,47,41,18,26.5,21,43,700,41.3
"24""",12,56,49,21.75,31.25,25,50,800,47.625
"30""",15,70,55,27.25,40.5,30,50,950,50
"36""",18,78,57,29,41.5,35,50,1150,52
