,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Depth##LENGTH##INCHES,Counterweight X Offset##LENGTH##INCHES,Counterweight Y Offset##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS,Weight##MASS##POUNDS_MASS
"2.5""",1.25,12,7,5,5,10,190,22.3,0
"3""",1.5,12,7,5,5,10,190,22.3,0
"4""",2,13,8.5,5,4,11,230,22.3,0
"6""",3,17.5,9,6,3,12,280,23.9,0
"8""",4,18,12,9,3,14,345,27,0
"10""",5,23,14,9,0,15,405,28.6,0
"12""",6,28,16,11,8,17,485,30.2,0
"14""",7,33,22,13,0,20,535,33.4,0
"16""",8,36,23,14,0,24,595,35,0
"18""",9,40,24,17.25,0,28,635,38.1,0
"20""",10,40,24,17.25,0,28,700,41.3,0
