,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Depth##LENGTH##INCHES,Counterweight X Offset##LENGTH##INCHES,Counterweight Y Offset##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS
"3""",1.5,12,7,5,5,10,190,22.3
"4""",2,13,8.5,5,5,11,230,22.3
"6""",3,17.5,9,6,7,12,280,23.9
"8""",4,18,12,9,8,14,345,27
"10""",5,23,14,9,9,15,405,28.6
"12""",6,28,16,11,11,17,485,30.2
"14""",7,33,22,13,14,20,535,33.4
"16""",8,36,23,14,16,24,595,35
"18""",9,40,24,18,18,28,635,38.1
"20""",10,40,24,18,18,28,700,41.3
"24""",12,48,28,20,21,34,815,46.1
