,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Depth##LENGTH##INCHES,Counterweight X Offset##LENGTH##INCHES,Counterweight Y Offset##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS
"3""",1.5,12,7,5,5,10,190,22.3
"4""",2,13,8,5,4,11,230,22.3
"6""",3,17.5,9,6,3,12,280,23.9
"8""",4,18,11,9,3,14,345,27
"10""",5,23,12.5,9,0,15,405,28.6
"12""",6,28,14.5,11,8,17,485,30.2
"14""",7,33,16,13,0,20,535,33.4
"16""",8,36,17.5,14,0,24,595,35
"18""",9,40,19,17.25,0,28,635,38.1
"20""",10,40,21.5,17.25,0,28,700,41.3
