,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Valve Width##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS
"6""",3,15.5,5.5,14,280,23.9
"8""",4,17.5,7.1875,19,345,27
"10""",5,24.5,8.25,19.5,405,28.6
"12""",6,24,10,25,485,30.2
"14""",7,31,10.75,26,535,33.4
"16""",8,30,11.75,28.5,595,35
"18""",9,33,13,30.5,635,38.1
"20""",10,32,14.25,34,700,41.3
"24""",12,38,16.4375,36.5,800,47.625
"30""",15,52,23.75,48,950,50
"36""",18,59.5,24.25,53,1150,52
"42""",21,60,28,60,1325,55
