,Nominal Radius##PIPE_SIZE##INCHES,Valve Length##LENGTH##INCHES,Valve Height##LENGTH##INCHES,Depth##LENGTH##INCHES,Hand Wheel Offset##LENGTH##INCHES,Hand Wheel Diameter##LENGTH##INCHES,Flange Diameter##LENGTH##MILLIMETERS,Flange Thickness##LENGTH##MILLIMETERS,Weight##MASS##POUNDS_MASS
"3""",1.5,8,10.25,4.5,9.25,9,190,22.3,75
"4""",2,9,11.75,6,9.25,12,230,22.3,115
"6""",3,10.5,12.5,6.75,9.25,12,280,23.9,155
"8""",4,11.5,16.5,9.5,10.5,12,345,27,305
"10""",5,13,18.5,10.5,10.5,12,405,28.6,395
"12""",6,14,19.75,11,10.5,12,485,30.2,490
"14""",7,17,22.25,11,19.75,20,535,33.4,760
"16""",8,17.75,24,13,19.75,20,595,35,955
"18""",9,30,24,13.25,19.75,20,635,38.1,1255
"20""",10,36,26,15.75,19.75,20,700,41.3,2005
"24""",12,42,26,15.75,19.75,20,815,46.1,2205
