,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Principal Axes Angle##ANGLE##DEGREES,Section Name Key##other##
M12.5X12.4,3.75,12.5,0.228,0.155,0.335,3.63,12.4,89.3,2.01,14.2,1.07,16.5,1.68,0.0493,76,0,M12.5X12.4
M12.5X11.6,3.5,12.5,0.211,0.155,0.352,3.4,11.6,80.3,1.51,12.8,0.864,15,1.37,0.0414,57.1,0,M12.5X11.6
M12X11.8,3.07,12,0.225,0.177,0.338,3.47,11.8,72.2,1.09,12,0.709,14.3,1.15,0.05,37.7,0,M12X11.8
M12X10.8,3.07,11.97,0.21,0.16,0.353,3.18,10.8,66.7,1.01,11.1,0.661,13.2,1.07,0.0393,35,0,M12X10.8
M12X10,3.25,11.97,0.18,0.149,0.32,2.95,10,61.7,1.03,10.3,0.636,12.2,1.02,0.0292,35.9,0,M12X10
M10X9,2.69,10,0.206,0.157,0.357,2.65,9,39,0.672,7.79,0.5,9.22,0.809,0.0314,16.1,0,M10X9
M10X8,2.69,9.95,0.182,0.141,0.381,2.37,8,34.6,0.593,6.95,0.441,8.2,0.711,0.0224,14.2,0,M10X8
M10X7.5,2.69,9.99,0.173,0.13,0.265,2.22,7.5,33,0.562,6.6,0.418,7.77,0.67,0.0187,13.5,0,M10X7.5
M8X6.5,2.28,8,0.189,0.135,0.374,1.92,6.5,18.5,0.376,4.63,0.329,5.43,0.529,0.0184,5.73,0,M8X6.5
M8X6.2,2.28,8,0.177,0.129,0.261,1.82,6.2,17.6,0.352,4.39,0.308,5.15,0.495,0.0156,5.38,0,M8X6.2
M6X4.4,1.84,6,0.171,0.114,0.204,1.29,4.4,7.23,0.18,2.41,0.195,2.8,0.311,0.0099,1.53,0,M6X4.4
M6X3.7,2,5.92,0.129,0.098,0.184,1.09,3.7,5.96,0.173,2.01,0.173,2.33,0.273,0.0053,1.45,0,M6X3.7
M5X18.9,5,5,0.416,0.316,0.397,5.56,18.9,24.2,8.7,9.67,3.48,11.1,5.33,0.313,45.7,0,M5X18.9
M4X6,3.8,3.8,0.16,0.13,0.34,1.75,6,4.72,1.47,2.48,0.771,2.74,1.18,0.0184,4.87,0,M4X6
M4X4.08,2.25,4,0.17,0.115,0.393,1.27,4.08,3.53,0.325,1.77,0.289,2,0.453,0.0147,1.19,0,M4X4.08
M4X3.45,2.25,4,0.13,0.092,0.37,1.01,3.45,2.86,0.248,1.43,0.221,1.6,0.346,0.0082,0.93,0,M4X3.45
M4X3.2,2.25,4,0.13,0.092,0.37,1.01,3.2,2.86,0.248,1.43,0.221,1.6,0.346,0.0082,0.93,0,M4X3.2
M3X2.9,2.25,3,0.13,0.09,0.37,0.914,2.9,1.5,0.248,1,0.221,1.12,0.344,0.0079,0.511,0,M3X2.9
