,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Flange Thickness Location##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Section Name Key##other##
MC18X58,4.2,18,0.625,0.7,0.3125,0.625,0.862,1.75,17.1,58,675,17.6,75,5.28,95.4,10.7,2.81,1070,MC18X58
MC18X51.9,4.1,18,0.625,0.6,0.3125,0.625,0.858,1.75,15.3,51.9,627,16.3,69.6,5.02,87.3,9.86,2.03,985,MC18X51.9
MC18X45.8,4,18,0.625,0.5,0.3125,0.625,0.866,1.75,13.5,45.8,578,14.9,64.2,4.77,79.2,9.14,1.45,897,MC18X45.8
MC18X42.7,3.95,18,0.625,0.45,0.3125,0.625,0.877,1.75,12.6,42.7,554,14.3,61.5,4.64,75.1,8.82,1.23,852,MC18X42.7
MC13X50,4.41,13,0.61,0.787,0.305,0.61,0.974,1.8115,14.7,50,314,16.4,48.3,4.77,60.8,10.2,2.96,558,MC13X50
MC13X40,4.19,13,0.61,0.56,0.305,0.61,0.963,1.815,11.7,40,273,13.7,41.9,4.24,51.2,8.66,1.55,462,MC13X40
MC13X35,4.07,13,0.61,0.447,0.305,0.61,0.98,1.8115,10.3,35,252,12.3,38.8,3.97,46.5,8.04,1.13,412,MC13X35
MC13X31.8,4,13,0.61,0.375,0.305,0.61,1,1.8125,9.35,31.8,239,11.4,36.7,3.79,43.4,7.69,0.937,380,MC13X31.8
MC12X50,4.14,12,0.7,0.835,0.35,0.7,1.05,1.6525,14.7,50,269,17.4,44.9,5.64,56.5,10.9,3.23,411,MC12X50
MC12X45,4.01,12,0.7,0.71,0.35,0.7,1.04,1.65,13.2,45,251,15.8,41.9,5.3,52,10.1,2.33,373,MC12X45
MC12X40,3.89,12,0.7,0.59,0.35,0.7,1.04,1.65,11.8,40,234,14.2,39,4.98,47.7,9.31,1.69,336,MC12X40
MC12X35,3.77,12,0.7,0.465,0.35,0.7,1.05,1.6525,10.3,35,216,12.6,36,4.64,43.2,8.62,1.24,297,MC12X35
MC12X31,3.67,12,0.7,0.37,0.35,0.7,1.08,1.65,9.12,31,202,11.3,33.7,4.37,39.7,8.15,1,267,MC12X31
MC12X14.3,2.12,12,0.313,0.25,0.12,0.313,0.377,0.935,4.18,14.3,76.1,1,12.7,0.574,15.9,1.21,0.117,32.8,MC12X14.3
MC12X10.6,1.5,12,0.309,0.19,0.1545,0.309,0.269,0.655,3.1,10.6,55.3,0.378,9.22,0.307,11.6,0.635,0.0596,11.7,MC12X10.6
MC10X41.1,4.32,10,0.575,0.796,0.2875,0.575,1.09,1.762,12.1,41.1,157,15.7,31.5,4.85,39.3,9.49,2.26,269,MC10X41.1
MC10X33.6,4.1,10,0.575,0.575,0.2875,0.575,1.09,1.7625,9.87,33.6,139,13.1,27.8,4.35,33.7,8.28,1.2,224,MC10X33.6
MC10X28.5,3.95,10,0.575,0.425,0.2875,0.575,1.12,1.7625,8.37,28.5,126,11.3,25.3,3.99,30,7.59,0.791,193,MC10X28.5
MC10X25,3.41,10,0.575,0.38,0.2875,0.575,0.953,1.515,7.34,25,110,7.25,22,2.96,26.2,5.65,0.638,124,MC10X25
MC10X22,3.32,10,0.575,0.29,0.2875,0.575,0.99,1.515,6.45,22,102,6.4,20.5,2.75,23.9,5.29,0.51,110,MC10X22
