,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Section Name Key##other##
MT6.25X6.2,3.75,6.27,0.228,0.155,0.335,4.53,1.82,6.2,7.29,1,1.61,0.536,2.92,0.839,0.0246,0.0284,MT 6.25X6.2
MT6.25X5.8,3.5,6.25,0.211,0.155,0.352,4.41,1.7,5.8,6.94,0.756,1.57,0.432,2.86,0.684,0.0206,0.0268,MT 6.25X5.8
MT6X5.9,3.07,6,0.225,0.177,0.338,4.11,1.74,5.9,6.61,0.543,1.61,0.354,2.89,0.575,0.0249,0.0337,MT 6X5.9
MT6X5.4,3.07,5.99,0.21,0.16,0.353,4.13,1.59,5.4,6.03,0.506,1.46,0.33,2.63,0.532,0.0196,0.025,MT 6X5.4
MT6X5,3.25,5.99,0.18,0.149,0.32,4.13,1.48,5,5.62,0.517,1.36,0.318,2.45,0.509,0.0145,0.0202,MT 6X5
MT5X4.5,2.69,5,0.206,0.157,0.357,3.46,1.33,4.5,3.47,0.336,1,0.25,1.81,0.403,0.0156,0.0138,MT 5X4.5
MT5X4,2.69,4.98,0.182,0.141,0.381,3.46,1.19,4,3.08,0.296,0.894,0.22,1.61,0.354,0.0112,0.00989,MT 5X4
MT5X3.75,2.69,5,0.173,0.13,0.265,3.49,1.11,3.75,2.91,0.281,0.836,0.209,1.51,0.334,0.00932,0.00792,MT 5X3.75
MT4X3.25,2.28,4,0.189,0.135,0.374,2.82,0.959,3.25,1.57,0.188,0.558,0.165,1.01,0.264,0.00917,0.00463,MT 4X3.25
MT4X3.1,2.28,4,0.177,0.129,0.261,2.82,0.911,3.1,1.5,0.176,0.533,0.154,0.967,0.247,0.00778,0.00403,MT 4X3.1
MT3X2.2,1.84,3,0.171,0.114,0.204,2.159,0.647,2.2,0.579,0.0897,0.268,0.0973,0.483,0.155,0.00494,0.00124,MT 3X2.2
MT3X1.85,2,2.96,0.129,0.098,0.184,2.133,0.545,1.85,0.483,0.0863,0.226,0.0863,0.409,0.136,0.00265,0.000754,MT 3X1.85
MT2.5X9.45,5,2.5,0.416,0.316,0.397,1.988,2.78,9.45,1.05,4.35,0.528,1.74,1.03,2.66,0.156,0.0732,MT 2.5X9.45
MT2X3,3.8,1.9,0.16,0.13,0.34,1.559,0.875,3,0.208,0.732,0.133,0.385,0.241,0.588,0.00919,0.00193,MT 2X3
