,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Flange Thickness Location##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Section Name Key##other##
S24X121,8.05,24.5,1.09,0.8,0.545,1.09,1.8125,35.5,121,3160,83,258,20.6,306,36.3,12.8,11400,S24X121
S24X106,7.87,24.5,1.09,0.62,0.545,1.09,1.8125,31.1,106,2940,76.8,240,19.5,279,33.4,10.1,10500,S24X106
S24X100,7.25,24,0.87,0.745,0.435,0.87,1.62625,29.3,100,2380,47.4,199,13.1,239,24,7.59,6350,S24X100
S24X90,7.13,24,0.87,0.625,0.435,0.87,1.62625,26.5,90,2250,44.7,187,12.5,222,22.4,6.05,5980,S24X90
S24X80,7,24,0.87,0.5,0.435,0.87,1.625,23.5,80,2100,42,175,12,204,20.8,4.89,5620,S24X80
S20X96,7.2,20.3,0.92,0.8,0.46,0.92,1.6,28.2,96,1670,49.9,165,13.9,198,24.9,8.4,4690,S20X96
S20X86,7.06,20.3,0.92,0.66,0.46,0.92,1.6,25.3,86,1570,46.6,155,13.2,183,23.1,6.65,4370,S20X86
S20X75,6.39,20,0.795,0.635,0.3975,0.795,1.43875,22,75,1280,29.5,128,9.25,152,16.7,4.59,2720,S20X75
S20X66,6.26,20,0.795,0.505,0.3975,0.795,1.43875,19.4,66,1190,27.5,119,8.78,139,15.4,3.58,2530,S20X66
S18X70,6.25,18,0.691,0.711,0.3455,0.691,1.38475,20.5,70,923,24,103,7.69,124,14.3,4.1,1800,S18X70
S18X54.7,6,18,0.691,0.461,0.3455,0.691,1.38475,16,54.7,801,20.7,89,6.91,104,12.1,2.33,1550,S18X54.7
S15X50,5.64,15,0.622,0.55,0.311,0.622,1.2725,14.7,50,485,15.6,64.7,5.53,77,10,2.12,805,S15X50
S15X42.9,5.5,15,0.622,0.411,0.311,0.622,1.27225,12.6,42.9,446,14.3,59.4,5.19,69.2,9.08,1.54,737,S15X42.9
S12X50,5.48,12,0.659,0.687,0.3295,0.659,1.19825,14.7,50,303,15.6,50.6,5.69,60.9,10.3,2.77,501,S12X50
S12X40.8,5.25,12,0.659,0.462,0.3295,0.659,1.197,11.9,40.8,270,13.5,45.1,5.13,52.7,8.86,1.69,433,S12X40.8
S12X35,5.08,12,0.544,0.428,0.272,0.544,1.163,10.2,35,228,9.84,38.1,3.88,44.6,6.8,1.05,323,S12X35
S12X31.8,5,12,0.544,0.35,0.272,0.544,1.1625,9.31,31.8,217,9.33,36.2,3.73,41.8,6.44,0.878,306,S12X31.8
S10X35,4.94,10,0.491,0.594,0.2455,0.491,1.0865,10.3,35,147,8.3,29.4,3.36,35.4,6.19,1.29,188,S10X35
S10X25.4,4.66,10,0.491,0.311,0.2455,0.491,1.08725,7.45,25.4,123,6.73,24.6,2.89,28.3,4.99,0.603,152,S10X25.4
S8X23,4.17,8,0.425,0.441,0.2125,0.425,0.93225,6.76,23,64.7,4.27,16.2,2.05,19.2,3.67,0.55,61.2,S8X23
S8X18.4,4,8,0.425,0.271,0.2125,0.425,0.93225,5.4,18.4,57.5,3.69,14.4,1.84,16.5,3.18,0.335,52.9,S8X18.4
S6X17.25,3.57,6,0.359,0.465,0.1795,0.359,0.77625,5.05,17.25,26.2,2.29,8.74,1.28,10.5,2.35,0.371,18.2,S6X17.25
S6X12.5,3.33,6,0.359,0.232,0.1795,0.359,0.7745,3.66,12.5,22,1.8,7.34,1.08,8.45,1.86,0.167,14.3,S6X12.5
S5X10,3,5,0.326,0.214,0.163,0.326,0.6965,2.93,10,12.3,1.19,4.9,0.795,5.66,1.37,0.114,6.52,S5X10
S4X9.5,2.8,4,0.293,0.326,0.1465,0.293,0.6185,2.79,9.5,6.76,0.887,3.38,0.635,4.04,1.13,0.12,3.05,S4X9.5
S4X7.7,2.66,4,0.293,0.193,0.1465,0.293,0.61675,2.26,7.7,6.05,0.748,3.03,0.562,3.5,0.97,0.0732,2.57,S4X7.7
S3X7.5,2.51,3,0.26,0.349,0.13,0.26,0.54025,2.2,7.5,2.91,0.578,1.94,0.461,2.35,0.821,0.0896,1.08,S3X7.5
S3X5.7,2.33,3,0.26,0.17,0.13,0.26,0.54,1.66,5.7,2.5,0.447,1.67,0.383,1.94,0.656,0.0433,0.838,S3X5.7
