,W##other##,A##area##inches,OD##length##inches,t##length##inches
HSS20X0.500,104,28.5,20,0.465
HSS20X0.375,78.7,21.5,20,0.349
HSS18X0.500,93.5,25.6,18,0.465
HSS18X0.375,70.7,19.4,18,0.349
HSS16X0.625,103,28.1,16,0.581
HSS16X0.500,82.8,22.7,16,0.465
HSS16X0.438,72.9,19.9,16,0.407
HSS16X0.375,62.6,17.2,16,0.349
HSS16X0.312,52.3,14.4,16,0.291
HSS16X0.250,42.1,11.5,16,0.233
HSS14X0.625,89.4,24.5,14,0.581
HSS14X0.500,72.2,19.8,14,0.465
HSS14X0.375,54.6,15,14,0.349
HSS14X0.312,45.7,12.5,14,0.291
HSS14X0.250,36.7,10.1,14,0.233
HSS12.750X0.500,65.5,17.9,12.75,0.465
HSS12.750X0.375,49.6,13.6,12.75,0.349
HSS12.750X0.250,33.4,9.16,12.75,0.233
HSS12.500X.625 - Obsolete,79.3,21.8,12.5,0.581
HSS12.500X.500 - Obsolete,64.1,17.6,12.5,0.465
HSS12.500X.375 - Obsolete,48.6,13.3,12.5,0.349
HSS12.500X.312 - Obsolete,40.7,11.2,12.5,0.291
HSS12.500X.250 - Obsolete,32.7,9,12.5,0.233
HSS12.500X.188 - Obsolete,24.7,6.7,12.5,0.174
HSS11.250X.625 - Obsolete,71,19.5,11.25,0.581
HSS11.250X.500 - Obsolete,57.5,15.8,11.25,0.465
HSS11.250X.375 - Obsolete,43.6,12,11.25,0.349
HSS11.250X.312 - Obsolete,36.5,10,11.25,0.291
HSS11.250X.250 - Obsolete,29.4,8.1,11.25,0.233
HSS11.250X.188 - Obsolete,22.2,6.1,11.25,0.174
HSS10.750X0.500,54.8,15,10.75,0.465
HSS10.750X0.375,41.6,11.4,10.75,0.349
HSS10.750X0.250,28.1,7.7,10.75,0.233
HSS10X0.625,62.6,17.2,10,0.581
HSS10X0.500,50.8,13.9,10,0.465
HSS10X0.375,38.6,10.6,10,0.349
HSS10X0.312,32.3,8.88,10,0.291
HSS10X0.250,26.1,7.15,10,0.233
HSS10X0.188,19.7,5.37,10,0.174
HSS9.625X0.500,48.8,13.4,9.625,0.465
HSS9.625X0.375,37.1,10.2,9.625,0.349
HSS9.625X0.312,31.1,8.53,9.625,0.291
HSS9.625X0.250,25.1,6.87,9.625,0.233
HSS9.625X0.188,19,5.17,9.625,0.174
HSS8.750X.500 - Obsolete,44.1,12.1,8.75,0.465
HSS8.750X.375 - Obsolete,33.6,9.2,8.75,0.349
HSS8.750X.312 - Obsolete,28.1,7.7,8.75,0.291
HSS8.750X.250 - Obsolete,22.7,6.2,8.75,0.233
HSS8.750X.188 - Obsolete,17.2,4.7,8.75,0.174
HSS8.625X0.625,53.5,14.7,8.625,0.581
HSS8.625X0.500,43.4,11.9,8.625,0.465
HSS8.625X0.375,33.1,9.07,8.625,0.349
HSS8.625X0.322,28.6,7.85,8.625,0.3
HSS8.625X0.250,22.4,6.14,8.625,0.233
HSS8.625X0.188,17,4.62,8.625,0.174
HSS7.625X0.375,29.1,7.98,7.625,0.349
HSS7.625X0.328,25.6,7.01,7.625,0.305
HSS7.625X0.125 - Obsolete,10,2.7,7.63,0.116
HSS7.500X0.500,37.4,10.3,7.5,0.465
HSS7.500X0.375,28.6,7.84,7.5,0.349
HSS7.500X0.312,24,6.59,7.5,0.291
HSS7.500X0.250,19.4,5.32,7.5,0.233
HSS7.500X0.188,14.7,4,7.5,0.174
HSS7X0.500,34.7,9.55,7,0.465
HSS7X0.375,26.6,7.29,7,0.349
HSS7X0.312,22.3,6.13,7,0.291
HSS7X0.250,18,4.95,7,0.233
HSS7X0.188,13.7,3.73,7,0.174
HSS7X0.125,9.19,2.51,7,0.116
HSS6.875X0.500,34.1,9.36,6.875,0.465
HSS6.875X0.375,26.1,7.16,6.875,0.349
HSS6.875X0.312,21.9,6.02,6.875,0.291
HSS6.875X0.250,17.7,4.86,6.875,0.233
HSS6.875X0.188,13.4,3.66,6.875,0.174
HSS6.625X0.500,32.7,9,6.625,0.465
HSS6.625X0.432,28.6,7.86,6.625,0.402
HSS6.625X0.375,25.1,6.88,6.625,0.349
HSS6.625X0.312,21.1,5.79,6.625,0.291
HSS6.625X0.280,19,5.2,6.625,0.26
HSS6.625X0.250,17,4.68,6.625,0.233
HSS6.625X0.188,12.9,3.53,6.625,0.174
HSS6.625X0.125,8.69,2.37,6.625,0.116
HSS6.125X0.500 - Obsolete,30.1,8.3,6.13,0.465
HSS6.125X0.375 - Obsolete,23.1,6.3,6.13,0.349
HSS6.125X0.312 - Obsolete,19.4,5.3,6.13,0.291
HSS6.125X0.250 - Obsolete,15.7,4.3,6.13,0.233
HSS6.125X0.188 - Obsolete,11.9,3.3,6.13,0.174
HSS6X0.500,29.4,8.09,6,0.465
HSS6X0.375,22.5,6.2,6,0.349
HSS6X0.312,19,5.22,6,0.291
HSS6X0.280,17.1,4.69,6,0.26
HSS6X0.250,15.4,4.22,6,0.233
HSS6X0.188,11.7,3.18,6,0.174
HSS6X0.125,7.85,2.14,6,0.116
HSS5.563X0.500,27.1,7.45,5.563,0.465
HSS5.563X0.375,20.8,5.72,5.563,0.349
HSS5.563X0.258,14.6,4.01,5.563,0.24
