,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
M12.5X12.4,12.4,3.63,12.5,3.75,0.155,0.228,0.5625
M12.5X11.6,11.6,3.40,12.5,3.50,0.155,0.211,0.5625
M12X11.8,11.8,3.47,12.0,3.07,0.177,0.225,0.5625
M12X10.8,10.8,3.18,12.0,3.07,0.160,0.210,0.5625
M12X10,10.0,2.95,12.0,3.25,0.149,0.180,0.500
M10X9,9.00,2.65,10.0,2.69,0.157,0.206,0.5625
M10X8,8.00,2.37,10.0,2.69,0.141,0.182,0.5625
M10X7.5,7.50,2.22,10.0,2.69,0.130,0.173,0.4375
M8X6.5,6.50,1.92,8.00,2.28,0.135,0.189,0.5625
M8X6.2,6.20,1.82,8.00,2.28,0.129,0.177,0.4375
M6X4.4,4.40,1.29,6.00,1.84,0.114,0.171,0.375
M6X3.7,3.70,1.09,5.92,2.00,0.0980,0.129,0.3125
M5X18.9,18.9,5.56,5.00,5.00,0.316,0.416,0.8125
M4X6,6.00,1.75,3.80,3.80,0.130,0.160,0.500
M4X4.08,4.09,1.27,4.00,2.25,0.115,0.170,0.5625
M4X3.45,3.45,1.01,4.00,2.25,0.0920,0.130,0.500
M4X3.2,3.20,1.01,4.00,2.25,0.0920,0.130,0.500
M3X2.9,2.90,0.914,3.00,2.25,0.0900,0.130,0.500
