,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,x##length##inches
MC18X58,58.0,17.1,18.0,4.20,0.700,0.625,0.862
MC18X51.9,51.9,15.3,18.0,4.10,0.600,0.625,0.858
MC18X45.8,45.8,13.5,18.0,4.00,0.500,0.625,0.866
MC18X42.7,42.7,12.6,18.0,3.95,0.450,0.625,0.877
MC13X50,50.0,14.7,13.0,4.41,0.787,0.610,0.974
MC13X40,40.0,11.8,13.0,4.19,0.560,0.610,0.963
MC13X35,35.0,10.3,13.0,4.07,0.447,0.610,0.980
MC13X31.8,31.8,9.35,13.0,4.00,0.375,0.610,1.00
MC12X50,50.0,14.7,12.0,4.14,0.835,0.700,1.05
MC12X45,45.0,13.2,12.0,4.01,0.710,0.700,1.04
MC12X40,40.0,11.8,12.0,3.89,0.590,0.700,1.04
MC12X35,35.0,10.3,12.0,3.77,0.465,0.700,1.05
MC12X31,31.0,9.12,12.0,3.67,0.370,0.700,1.08
MC12X10.6,10.6,3.10,12.0,1.50,0.190,0.309,0.269
MC10X41.1,41.1,12.1,10.0,4.32,0.796,0.575,1.09
MC10X33.6,33.6,9.87,10.0,4.10,0.575,0.575,1.09
MC10X28.5,28.5,8.37,10.0,3.95,0.425,0.575,1.12
MC10X25,25.0,7.35,10.0,3.41,0.380,0.575,0.953
MC10X22,22.0,6.45,10.0,3.32,0.290,0.575,0.990
MC10X8.4,8.40,2.46,10.0,1.50,0.170,0.280,0.284
MC10X6.5,6.50,1.95,10.0,1.17,0.152,0.202,0.194
MC9X25.4,25.4,7.47,9.00,3.50,0.450,0.550,0.970
MC9X23.9,23.9,7.02,9.00,3.45,0.400,0.550,0.981
MC8X22.8,22.8,6.70,8.00,3.50,0.427,0.525,1.01
MC8X21.4,21.4,6.28,8.00,3.45,0.375,0.525,1.02
MC8X20,20.0,5.88,8.00,3.03,0.400,0.500,0.840
MC8X18.7,18.7,5.50,8.00,2.98,0.353,0.500,0.849
MC8X8.5,8.50,2.50,8.00,1.87,0.179,0.311,0.428
MC7X22.7,22.7,6.67,7.00,3.60,0.503,0.500,1.04
MC7X19.1,19.1,5.61,7.00,3.45,0.352,0.500,1.08
MC6X18,18.0,5.29,6.00,3.50,0.379,0.475,1.12
MC6X15.3,15.3,4.49,6.00,3.50,0.340,0.385,1.05
MC6X16.3,16.3,4.79,6.00,3.00,0.375,0.475,0.927
MC6X15.1,15.1,4.44,6.00,2.94,0.316,0.475,0.940
MC6X12,12.0,3.53,6.00,2.50,0.310,0.375,0.704
MC6x7,7.00,2.09,6.00,1.88,0.179,0.291,0.501
MC6x6.5,6.50,1.95,6.00,1.85,0.155,0.291,0.513
MC4x13.8,13.8,4.03,4.00,2.50,0.500,0.500,0.849
MC3x7.1,7.10,2.11,3.00,1.94,0.312,0.351,0.653
