,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
MT6.25X6.2,6.20,1.80,6.27,3.75,0.155,0.228,0.5625
MT6.25X5.9,5.90,1.69,6.25,3.50,0.155,0.211,0.5625
MT6X5.9,5.90,1.72,6.00,3.07,0.177,0.225,0.5625
MT6X5.4,5.40,1.58,5.99,3.07,0.160,0.210,0.5625
MT6X5,5.00,1.46,5.99,3.25,0.149,0.180,0.500
MT5X4.5,4.50,1.32,5.00,2.69,0.157,0.206,0.5625
MT5X4,4.00,1.17,4.98,2.69,0.141,0.182,0.5625
MT5X3.75,3.75,1.10,5.00,2.69,0.130,0.173,0.4375
MT4X3.25,3.25,0.953,4.00,2.28,0.135,0.189,0.5625
MT4X3.1,3.10,0.904,4.00,2.28,0.129,0.177,0.4375
MT3X2.2,2.20,0.643,3.00,1.84,0.114,0.171,0.375
MT3X1.85,1.85,0.540,2.96,2.00,0.0980,0.129,0.3125
MT2.5X9.45,9.45,2.76,2.50,5.00,0.316,0.416,0.8125
MT2X3,3.00,0.855,1.90,3.80,0.130,0.160,0.500
