,W##other##,A##area##inches,d##length##inches,bf_t##length##inches,bf_b##length##inches,tf##length##inches,tw##length##inches,k##length##inches
WRF71x365,365,107,70.87,11.81,21.65,1.77,0.709,0.75
WRF71x323,323,94.7,70.87,11.81,21.65,1.38,0.709,0.75
WRF71x280,280,82,70.87,11.81,21.65,0.984,0.709,0.75
WRF63x330,330,96.9,62.99,11.81,21.65,1.77,0.63,0.6875
WRF63x287,287,84.3,62.99,11.81,21.65,1.38,0.63,0.6875
WRF63x243,243,71.6,62.99,11.81,21.65,0.984,0.63,0.6875
WRF55x278,278,81.5,55.12,11.81,21.65,1.57,0.551,0.625
WRF55x234,234,68.8,55.12,11.81,21.65,1.18,0.551,0.625
WRF55x191,191,56.1,55.12,11.81,21.65,0.787,0.551,0.625
WRF47x251,251,73.7,47.24,11.81,21.65,1.57,0.472,0.5625
WRF47x208,208,60.9,47.24,11.81,21.65,1.18,0.472,0.5625
WRF47x164,164,48.1,47.24,11.81,21.65,0.787,0.472,0.5625
WRF39x228,228,67.2,39.37,11.81,21.65,1.57,0.394,0.5625
WRF39x185,185,54.3,39.37,11.81,21.65,1.18,0.394,0.5625
WRF39x141,141,41.4,39.37,11.81,21.65,0.787,0.394,0.5625
