,A##area##inches,Sx##other##,Ix##other##,Sy##other##,Iy##other##,d##length##inches,b##length##inches
2x3,3.75,1.563,1.953,0.938,0.703,2.5,1.5
2x4,5.25,3.063,5.359,1.313,0.984,3.5,1.5
2x5,6.75,5.063,11.39,1.688,1.266,4.5,1.5
2x6,8.25,7.563,20.80,2.063,1.547,5.5,1.5
2x8,10.88,13.14,47.63,2.719,2.039,7.25,1.5
2x10,13.88,21.39,98.93,3.469,2.602,9.25,1.5
2x12,16.88,31.64,178.0,4.219,3.164,11.25,1.5
2x14,19.88,43.89,290.8,4.969,3.727,13.25,1.5
3x4,8.750,5.104,8.932,3.646,4.557,3.5,2.5
3x5,11.25,8.438,18.98,4.688,5.859,4.5,2.5
3x6,13.75,12.60,34.66,5.729,7.161,5.5,2.5
3x8,18.13,21.90,79.39,7.552,9.440,7.25,2.5
3x10,23.13,35.65,164.9,9.635,12.04,9.25,2.5
3x12,28.13,52.73,296.6,11.72,14.65,11.25,2.5
3x14,33.13,73.15,484.6,13.80,17.25,13.25,2.5
3x16,38.13,96.90,738.9,15.89,19.86,15.25,2.5
4x4,12.25,7.146,12.51,7.146,12.51,3.5,3.5
4x5,15.75,11.81,26.58,9.188,16.08,4.5,3.5
4x6,19.25,17.65,48.53,11.23,19.65,5.5,3.5
4x8,25.38,30.66,111.1,14.80,25.90,7.25,3.5
4x10,32.38,49.91,230.8,18.89,33.05,9.25,3.5
4x12,39.38,73.83,415.3,22.97,40.20,11.25,3.5
4x14,46.38,106.3,717.6,27.56,48.23,13.25,3.5
4x16,53.38,140.1,1086,31.65,55.38,15.25,3.5
