,t##Other##,D##length##inches,B##length##inches
C1 1/2 X 17/32,20,1.5,0.53125
C3/4 X 1/2,20,0.75,0.5
162T125-18,18,1.62,1.25
162T125-27,27,1.62,1.25
162T125-30,30,1.62,1.25
162T125-33,33,1.62,1.25
250T125-18,18,2.50,1.25
250T125-27,27,2.50,1.25
250T125-30,30,2.50,1.25
250T125-33,33,2.50,1.25
250T125-43,43,2.50,1.25
250T125-54,54,2.50,1.25
250T125-68,68,2.50,1.25
250T150-27,27,2.50,1.50
250T150-30,30,2.50,1.50
250T150-33,33,2.50,1.50
250T150-43,43,2.50,1.50
250T150-54,54,2.50,1.50
250T150-68,68,2.50,1.50
250T200-33,33,2.50,2.00
250T200-43,43,2.50,2.00
250T200-54,54,2.50,2.00
250T200-68,68,2.50,2.00                   
350T125-18,18,3.50,1.25
350T125-27,27,3.50,1.25
350T125-30,30,3.50,1.25
350T125-33,33,3.50,1.25
350T125-43,43,3.50,1.25
350T125-54,54,3.50,1.25
350T125-68,68,3.50,1.25              
350T150-27,27,3.50,1.50
350T150-30,30,3.50,1.50
350T150-33,33,3.50,1.50
350T150-43,43,3.50,1.50
350T150-54,54,3.50,1.50
350T150-68,68,3.50,1.50              
350T200-33,33,3.50,2.00
350T200-43,43,3.50,2.00
350T200-54,54,3.50,2.00
350T200-68,68,3.50,2.00
362T125-18,18,3.62,1.25
362T125-27,27,3.62,1.25
362T125-30,30,3.62,1.25
362T125-33,33,3.62,1.25
362T125-43,43,3.62,1.25
362T125-54,54,3.62,1.25
362T125-68,68,3.62,1.25                  
362T150-27,27,3.62,1.50
362T150-30,30,3.62,1.50
362T150-33,33,3.62,1.50
362T150-43,43,3.62,1.50
362T150-54,54,3.62,1.50
362T150-68,68,3.62,1.50                  
362T200-33,33,3.62,2.00
362T200-43,43,3.62,2.00
362T200-54,54,3.62,2.00
362T200-68,68,3.62,2.00               
400T125-18,18,4.00,1.25
400T125-27,27,4.00,1.25
400T125-30,30,4.00,1.25
400T125-33,33,4.00,1.25
400T125-43,43,4.00,1.25
400T125-54,54,4.00,1.25
400T125-68,68,4.00,1.25                 
400T150-27,27,4.00,1.50
400T150-30,30,4.00,1.50
400T150-33,33,4.00,1.50
400T150-43,43,4.00,1.50
400T150-54,54,4.00,1.50
400T150-68,68,4.00,1.50                 
400T200-33,33,4.00,2.00
400T200-43,43,4.00,2.00
400T200-54,54,4.00,2.00
400T200-68,68,4.00,2.00
550T125-27,27,5.50,1.25
550T125-30,30,5.50,1.25
550T125-33,33,5.50,1.25
550T125-43,43,5.50,1.25
550T125-54,54,5.50,1.25
550T125-68,68,5.50,1.25                 
550T150-27,27,5.50,1.50
550T150-30,30,5.50,1.50
550T150-33,33,5.50,1.50
550T150-43,43,5.50,1.50
550T150-54,54,5.50,1.50
550T150-68,68,5.50,1.50                 
550T200-33,33,5.50,2.00
550T200-43,43,5.50,2.00
550T200-54,54,5.50,2.00
550T200-68,68,5.50,2.00
600T125-27,27,6.00,1.25
600T125-30,30,6.00,1.25
600T125-33,33,6.00,1.25
600T125-43,43,6.00,1.25
600T125-54,54,6.00,1.25
600T125-68,68,6.00,1.25
600T125-97,97,6.00,1.25                
600T150-27,27,6.00,1.50
600T150-30,30,6.00,1.50
600T150-33,33,6.00,1.50
600T150-43,43,6.00,1.50
600T150-54,54,6.00,1.50
600T150-68,68,6.00,1.50
600T150-97,97,6.00,1.50                
600T200-33,33,6.00,2.00
600T200-43,43,6.00,2.00
600T200-54,54,6.00,2.00
600T200-68,68,6.00,2.00
600T200-97,97,6.00,2.00
800T125-33,33,8.00,1.25
800T125-43,43,8.00,1.25
800T125-54,54,8.00,1.25
800T125-68,68,8.00,1.25
800T125-97,97,8.00,1.25
800T150-33,33,8.00,1.50
800T150-43,43,8.00,1.50
800T150-54,54,8.00,1.50
800T150-68,68,8.00,1.50
800T150-97,97,8.00,1.50               
800T200-33,33,8.00,2.00
800T200-43,43,8.00,2.00
800T200-54,54,8.00,2.00
800T200-68,68,8.00,2.00
800T200-97,97,8.00,2.00
1000T125-43,43,10.00,1.25
1000T125-54,54,10.00,1.25
1000T125-68,68,10.00,1.25
1000T125-97,97,10.00,1.25 
1000T150-43,43,10.00,1.50
1000T150-54,54,10.00,1.50
1000T150-68,68,10.00,1.50
1000T150-97,97,10.00,1.50               
1000T200-43,43,10.00,2.00
1000T200-54,54,10.00,2.00
1000T200-68,68,10.00,2.00
1000T200-97,97,10.00,2.00
1200T125-54,54,12.00,1.25
1200T125-68,68,12.00,1.25
1200T125-97,97,12.00,1.25 
1200T150-54,54,12.00,1.50
1200T150-68,68,12.00,1.50
1200T150-97,97,12.00,1.50
1200T200-54,54,12.00,2.00
1200T200-68,68,12.00,2.00
1200T200-97,97,12.00,2.00  
