,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Flange Thickness Location##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Principal Axes Angle##ANGLE##DEGREES,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
C15X50,3.72,15,0.65,0.716,0.325,0.65,0.799,1.502,14.7,50,404,11,53.8,3.77,68.5,8.14,2.65,492,0,2.25,ChannelsC15X50
C15X40,3.52,15,0.65,0.52,0.325,0.65,0.778,1.5,11.8,40,348,9.17,46.5,3.34,57.5,6.84,1.45,410,0,2,ChannelsC15X40
C15X33.9,3.4,15,0.65,0.4,0.325,0.65,0.788,1.5,10,33.9,315,8.07,42,3.09,50.8,6.19,1.01,358,0,2,ChannelsC15X33.9
C12X30,3.17,12,0.501,0.51,0.2505,0.501,0.674,1.33,8.81,30,162,5.12,27,2.05,33.8,4.32,0.861,151,0,1.75,ChannelsC12X30
C12X25,3.05,12,0.501,0.387,0.2505,0.501,0.674,1.3315,7.34,25,144,4.45,24,1.87,29.4,3.82,0.538,130,0,1.75,ChannelsC12X25
C12X20.7,2.94,12,0.501,0.282,0.2505,0.501,0.698,1.329,6.08,20.7,129,3.86,21.5,1.72,25.6,3.47,0.369,112,0,1.75,ChannelsC12X20.7
C10X30,3.03,10,0.436,0.673,0.218,0.436,0.649,1.1785,8.81,30,103,3.93,20.7,1.65,26.7,3.78,1.22,79.5,0,1.75,ChannelsC10X30
C10X25,2.89,10,0.436,0.526,0.218,0.436,0.617,1.182,7.35,25,91.1,3.34,18.2,1.47,23.1,3.18,0.687,68.3,0,1.75,ChannelsC10X25
C10X20,2.74,10,0.436,0.379,0.218,0.436,0.606,1.1805,5.87,20,78.9,2.8,15.8,1.31,19.4,2.7,0.368,56.9,0,1.5,ChannelsC10X20
C10X15.3,2.6,10,0.436,0.24,0.218,0.436,0.634,1.18,4.48,15.3,67.3,2.27,13.5,1.15,15.9,2.34,0.209,45.5,0,1.5,ChannelsC10X15.3
