,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Top Web Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Principal Axes Angle##ANGLE##DEGREES,Bolt Spacing Shorter Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##INCHES,Section Name Key##other##
L8X6X1,6,8,1,1,0.5,0.5,1,1.65,2.65,13.1,44.2,80.9,38.8,15.1,8.92,27.3,16.2,4.34,16.3,28.45769275,3.5,3,6,L8X6X1
L8X6X7/8,6,8,0.875,0.875,0.4375,0.4375,0.875,1.6,2.6,11.5,39.1,72.4,34.9,13.4,7.94,24.3,14.4,2.96,11.3,28.63454024,3.5,3,6,L8X6X7/8
L8X6X3/4,6,8,0.75,0.75,0.375,0.375,0.75,1.56,2.55,9.99,33.8,63.5,30.8,11.7,6.92,21.1,12.5,1.9,7.28,28.81079375,3.5,3,6,L8X6X3/4
L8X6X5/8,6,8,0.625,0.625,0.3125,0.3125,0.625,1.51,2.5,8.41,28.5,54.2,26.4,9.86,5.88,17.9,10.5,1.12,4.33,28.98645281,3.5,3,6,L8X6X5/8
L8X6X9/16,6,8,0.563,0.563,0.2815,0.2815,0.563,1.49,2.48,7.61,25.7,49.4,24.1,8.94,5.34,16.2,9.52,0.823,3.2,29.07405937,3.5,3,6,L8X6X9/16
L8X6X1/2,6,8,0.5,0.5,0.25,0.25,0.5,1.46,2.46,6.8,23,44.4,21.7,8.01,4.79,14.6,8.52,0.584,2.28,29.11780688,3.5,3,6,L8X6X1/2
L8X6X7/16,6,8,0.438,0.438,0.219,0.219,0.438,1.44,2.43,5.99,20.2,39.3,19.3,7.06,4.23,12.9,7.5,0.396,1.55,29.20519039,3.5,3,6,L8X6X7/16
L8X4X1,4,8,1,1,0.5,0.5,1,1.04,3.03,11.1,37.4,69.7,11.6,14,3.94,24.3,7.73,3.68,12.9,13.87435332,2.5,3,6,L8X4X1
L8X4X7/8,4,8,0.875,0.875,0.4375,0.4375,0.875,0.997,2.99,9.79,33.1,62.6,10.5,12.5,3.51,21.7,6.77,2.51,8.89,14.14404346,2.5,3,6,L8X4X7/8
L8X4X3/4,4,8,0.75,0.75,0.375,0.375,0.75,0.949,2.94,8.49,28.7,55,9.37,10.9,3.07,18.9,5.82,1.61,5.75,14.41309539,2.5,3,6,L8X4X3/4
L8X4X5/8,4,8,0.625,0.625,0.3125,0.3125,0.625,0.902,2.89,7.16,24.2,47,8.11,9.2,2.62,16.1,4.86,0.955,3.42,14.68149948,2.5,3,6,L8X4X5/8
L8X4X9/16,4,8,0.563,0.563,0.2815,0.2815,0.563,0.878,2.86,6.49,21.9,42.9,7.44,8.34,2.38,14.6,4.39,0.704,2.53,14.78867759,2.5,3,6,L8X4X9/16
L8X4X1/2,4,8,0.5,0.5,0.25,0.25,0.5,0.854,2.84,5.8,19.6,38.6,6.75,7.48,2.15,13.1,3.91,0.501,1.8,14.89575,2.5,3,6,L8X4X1/2
L8X4X7/16,4,8,0.438,0.438,0.219,0.219,0.438,0.829,2.81,5.11,17.2,34.2,6.03,6.59,1.9,11.6,3.42,0.34,1.22,15.002716,2.5,3,6,L8X4X7/16
L7X4X3/4,4,7,0.75,0.75,0.375,0.375,0.75,1,2.5,7.74,26.2,37.8,9,8.39,3.01,14.8,5.6,1.47,3.97,17.95232433,2.5,2.5,5.5,L7X4X3/4
L7X4X5/8,4,7,0.625,0.625,0.3125,0.3125,0.625,0.958,2.45,6.5,22.1,32.4,7.79,7.12,2.56,12.5,4.69,0.868,2.37,18.21120557,2.5,2.5,5.5,L7X4X5/8
L7X4X1/2,4,7,0.5,0.5,0.25,0.25,0.5,0.91,2.4,5.26,17.9,26.6,6.48,5.79,2.1,10.2,3.77,0.456,1.25,18.46931939,2.5,2.5,5.5,L7X4X1/2
L7X4X7/16,4,7,0.438,0.438,0.219,0.219,0.438,0.886,2.38,4.63,15.7,23.6,5.79,5.11,1.86,9.03,3.31,0.31,0.851,18.62381643,2.5,2.5,5.5,L7X4X7/16
L7X4X3/8,4,7,0.375,0.375,0.1875,0.1875,0.375,0.861,2.35,4,13.6,20.5,5.06,4.42,1.61,7.81,2.84,0.198,0.544,18.72665886,2.5,2.5,5.5,L7X4X3/8
L6X4X7/8,4,6,0.875,0.875,0.4375,0.4375,0.875,1.12,2.12,8,27.2,27.7,9.7,7.13,3.37,12.7,6.26,2.03,4.04,22.83109267,2.5,2.25,4.75,L6X4X7/8
L6X4X3/4,4,6,0.75,0.75,0.375,0.375,0.75,1.07,2.07,6.94,23.6,24.5,8.63,6.23,2.95,11.1,5.42,1.31,2.64,23.17092477,2.5,2.25,4.75,L6X4X3/4
L6X4X5/8,4,6,0.625,0.625,0.3125,0.3125,0.625,1.03,2.03,5.86,20,21,7.48,5.29,2.52,9.44,4.56,0.775,1.59,23.50904023,2.5,2.25,4.75,L6X4X5/8
L6X4X9/16,4,6,0.563,0.563,0.2815,0.2815,0.563,1,2,5.31,18.1,19.2,6.86,4.81,2.29,8.59,4.13,0.572,1.18,23.65341878,2.5,2.25,4.75,L6X4X9/16
L6X4X1/2,4,6,0.5,0.5,0.25,0.25,0.5,0.981,1.98,4.75,16.2,17.3,6.22,4.31,2.06,7.71,3.69,0.407,0.843,23.74949452,2.5,2.25,4.75,L6X4X1/2
L6X4X7/16,4,6,0.438,0.438,0.219,0.219,0.438,0.957,1.95,4.18,14.3,15.4,5.56,3.81,1.83,6.81,3.24,0.276,0.575,23.89334262,2.5,2.25,4.75,L6X4X7/16
L6X4X3/8,4,6,0.375,0.375,0.1875,0.1875,0.375,0.933,1.93,3.61,12.3,13.4,4.86,3.3,1.58,5.89,2.79,0.177,0.369,24.03687141,2.5,2.25,4.75,L6X4X3/8
L6X4X5/16,4,6,0.313,0.313,0.1565,0.1565,0.313,0.908,1.9,3.03,10.3,11.4,4.13,2.77,1.34,4.96,2.33,0.104,0.217,24.18008026,2.5,2.25,4.75,L6X4X5/16
L6X3-1/2X1/2,3.5,6,0.5,0.5,0.25,0.25,0.5,0.829,2.07,4.5,15.3,16.6,4.24,4.23,1.59,7.49,2.88,0.386,0.779,18.93196826,2,2.25,4.75,L6X3 1/2X1/2
L6X3-1/2X3/8,3.5,6,0.375,0.375,0.1875,0.1875,0.375,0.781,2.02,3.44,11.7,12.9,3.33,3.23,1.22,5.74,2.18,0.168,0.341,19.23898729,2,2.25,4.75,L6X3 1/2X3/8
L6X3-1/2X5/16,3.5,6,0.313,0.313,0.1565,0.1565,0.313,0.756,2,2.89,9.8,10.9,2.84,2.72,1.03,4.84,1.82,0.099,0.201,19.39206849,2,2.25,4.75,L6X3 1/2X5/16
L5X3-1/2X3/4,3.5,5,0.75,0.75,0.375,0.375,0.75,0.993,1.74,5.85,19.8,13.9,5.52,4.26,2.2,7.6,4.07,1.09,1.52,24.89130011,2,2,3.75,L5X3 1/2X3/4
