,Diameter##SECTION_PROPERTY##INCHES,Wall Nominal Thickness##SECTION_PROPERTY##INCHES,Wall Design Thickness##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Section Name Key##other##
Pipe12STD,12.8,0.375,0.349,13.7,49.6,262,262,41,41,53.7,53.7,523,Pipe 12 Std
Pipe10STD,10.8,0.365,0.34,11.5,40.5,151,151,28.1,28.1,36.9,36.9,302,Pipe 10 Std
Pipe8STD,8.63,0.322,0.3,7.85,28.6,68.1,68.1,15.8,15.8,20.8,20.8,136,Pipe 8 Std
Pipe6STD,6.63,0.28,0.261,5.2,19,26.5,26.5,7.99,7.99,10.6,10.6,52.9,Pipe 6 Std
Pipe5STD,5.56,0.258,0.241,4.01,14.6,14.3,14.3,5.14,5.14,6.83,6.83,28.6,Pipe 5 Std
Pipe4STD,4.5,0.237,0.221,2.96,10.8,6.82,6.82,3.03,3.03,4.05,4.05,13.6,Pipe 4 Std
Pipe3-1/2STD,4,0.226,0.211,2.5,9.12,4.52,4.52,2.26,2.26,3.03,3.03,9.04,Pipe 3 1/2 Std
Pipe3STD,3.5,0.216,0.201,2.07,7.58,2.85,2.85,1.63,1.63,2.19,2.19,5.69,Pipe 3 Std
Pipe2-1/2STD,2.88,0.203,0.189,1.61,5.8,1.45,1.45,1.01,1.01,1.37,1.37,2.89,Pipe 2 1/2 Std
Pipe2STD,2.38,0.154,0.143,1.02,3.66,0.627,0.627,0.528,0.528,0.713,0.713,1.25,Pipe 2 Std
Pipe1-1/2STD,1.9,0.145,0.135,0.749,2.72,0.293,0.293,0.309,0.309,0.421,0.421,0.586,Pipe 1 1/2 Std
