,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Flange Thickness Location##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
ST12X60.5,8.05,12.3,1.09,0.8,0.545,1.09,8.67,1.8125,17.8,60.5,259,41.5,30.1,10.3,54.5,18.1,6.38,27.5,4,ST 12X60.5
ST12X53,7.87,12.3,1.09,0.62,0.545,1.09,9.02,1.8125,15.6,53,216,38.4,24.1,9.76,43.3,16.7,5.05,15,4,ST 12X53
ST12X50,7.25,12,0.87,0.745,0.435,0.87,8.16,1.62625,14.7,50,215,23.7,26.3,6.55,47.5,12,3.76,19.5,4,ST 12X50
ST12X45,7.13,12,0.87,0.625,0.435,0.87,8.4,1.62625,13.2,45,190,22.3,22.6,6.27,41.1,11.2,3.01,12.1,4,ST 12X45
ST12X40,7,12,0.87,0.5,0.435,0.87,8.7,1.625,11.7,40,162,21,18.6,6,33.6,10.4,2.44,6.94,4,ST 12X40
ST10X48,7.2,10.2,0.92,0.8,0.46,0.92,7.07,1.6,14.1,48,143,25,20.3,6.93,36.9,12.5,4.16,15,4,ST 10X48
ST10X43,7.06,10.2,0.92,0.66,0.46,0.92,7.29,1.6,12.7,43,124,23.3,17.2,6.59,31.1,11.6,3.3,9.17,4,ST 10X43
ST10X37.5,6.39,10,0.795,0.635,0.3975,0.795,6.93,1.43875,11,37.5,109,14.8,15.8,4.62,28.6,8.36,2.28,7.21,3.5,ST 10X37.5
ST10X33,6.26,10,0.795,0.505,0.3975,0.795,7.19,1.43875,9.7,33,92.9,13.7,12.9,4.39,23.4,7.7,1.78,4.02,3.5,ST 10X33
ST9X35,6.25,9,0.691,0.711,0.3455,0.691,6.06,1.38475,10.3,35,84.5,12,14,3.84,25.1,7.17,2.02,7.03,3.5,ST 9X35
