,Diameter##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RB 1,1,3.14,0.785,0.049,0.049,0.098,0.098,0.167,0.167,RB 1
RB 1 1/16,1.0625,3.336,0.886,0.063,0.063,0.118,0.118,0.2,0.2,RB 1 1/16
RB 1 1/2,1.5,4.71,1.766,0.249,0.249,0.331,0.331,0.563,0.563,RB 1 1/2
RB 1 1/4,1.25,3.925,1.227,0.12,0.12,0.192,0.192,0.326,0.326,RB 1 1/4
RB 1 1/8,1.125,3.533,0.994,0.079,0.079,0.14,0.14,0.237,0.237,RB 1 1/8
RB 1 11/16,1.6875,5.299,2.235,0.398,0.398,0.472,0.472,0.801,0.801,RB 1 11/16
RB 1 13/16,1.8125,5.691,2.579,0.53,0.53,0.585,0.585,0.992,0.992,RB 1 13/16
RB 1 15/16,1.9375,6.084,2.947,0.692,0.692,0.714,0.714,1.212,1.212,RB 1 15/16
RB 1 3/16,1.1875,3.729,1.107,0.098,0.098,0.164,0.164,0.279,0.279,RB 1 3/16
RB 1 3/4,1.75,5.495,2.404,0.46,0.46,0.526,0.526,0.893,0.893,RB 1 3/4
RB 1 3/8,1.375,4.318,1.484,0.175,0.175,0.255,0.255,0.433,0.433,RB 1 3/8
RB 1 5/16,1.3125,4.121,1.352,0.146,0.146,0.222,0.222,0.377,0.377,RB 1 5/16
RB 1 5/8,1.625,5.103,2.073,0.342,0.342,0.421,0.421,0.715,0.715,RB 1 5/8
RB 1 7/16,1.4375,4.514,1.622,0.21,0.21,0.292,0.292,0.495,0.495,RB 1 7/16
RB 1 7/8,1.875,5.888,2.76,0.607,0.607,0.647,0.647,1.099,1.099,RB 1 7/8
RB 1 9/16,1.5625,4.906,1.917,0.293,0.293,0.375,0.375,0.636,0.636,RB 1 9/16
RB 1/16,0.625,1.963,0.307,0,0,0,0,0,0,RB 1/16
RB 1/2,0.5,1.57,0.196,0.003,0.003,0.012,0.012,0.021,0.021,RB 1/2
RB 1/4,0.25,0.785,0.049,0,0,0.002,0.002,0.003,0.003,RB 1/4
RB 1/8,0.125,0.393,0.012,0,0,0,0,0,0,RB 1/8
RB 10,10,31.4,78.5,490.874,490.874,98.175,98.175,166.667,166.667,RB 10
RB 10 1/16,10.0625,31.596,79.484,503.261,503.261,100.027,100.027,169.811,169.811,RB 10 1/16
RB 10 1/2,10.5,32.97,86.546,596.66,596.66,113.65,113.65,192.937,192.937,RB 10 1/2
RB 10 1/4,10.25,32.185,82.474,541.833,541.833,105.724,105.724,179.482,179.482,RB 10 1/4
RB 10 1/8,10.125,31.793,80.475,515.882,515.882,101.903,101.903,172.995,172.995,RB 10 1/8
RB 10 11/16,10.6875,33.559,89.665,640.434,640.434,119.847,119.847,203.459,203.459,RB 10 11/16
RB 10 13/16,10.8125,33.951,91.774,670.926,670.926,124.102,124.102,210.682,210.682,RB 10 13/16
RB 10 15/16,10.9375,34.344,93.909,702.493,702.493,128.456,128.456,218.074,218.074,RB 10 15/16
RB 10 3/16,10.1875,31.989,81.471,528.738,528.738,103.801,103.801,176.219,176.219,RB 10 3/16
RB 10 3/4,10.75,33.755,90.717,655.547,655.547,121.962,121.962,207.049,207.049,RB 10 3/4
RB 10 3/8,10.375,32.578,84.498,568.751,568.751,109.639,109.639,186.129,186.129,RB 10 3/8
RB 10 5/16,10.3125,32.381,83.483,555.17,555.17,107.669,107.669,182.785,182.785,RB 10 5/16
RB 10 5/8,10.625,33.363,88.619,625.584,625.584,117.757,117.757,199.91,199.91,RB 10 5/8
RB 10 7/16,10.4375,32.774,85.519,582.58,582.58,111.632,111.632,189.513,189.513,RB 10 7/16
RB 10 7/8,10.875,34.148,92.839,686.573,686.573,126.266,126.266,214.356,214.356,RB 10 7/8
RB 10 9/16,10.5625,33.166,87.58,610.994,610.994,115.691,115.691,196.403,196.403,RB 10 9/16
RB 11,11,34.54,94.985,718.688,718.688,130.671,130.671,221.833,221.833,RB 11
RB 11 1/16,11.0625,34.736,96.067,735.162,735.162,132.911,132.911,225.636,225.636,RB 11 1/16
RB 11 1/2,11.5,36.11,103.816,858.541,858.541,149.312,149.312,253.479,253.479,RB 11 1/2
RB 11 1/4,11.25,35.325,99.352,786.285,786.285,139.784,139.784,237.305,237.305,RB 11 1/4
RB 11 1/8,11.125,34.933,97.156,751.917,751.917,135.176,135.176,229.482,229.482,RB 11 1/8
RB 11 11/16,11.6875,36.699,107.229,915.918,915.918,156.735,156.735,266.081,266.081,RB 11 11/16
RB 11 13/16,11.8125,37.091,109.535,955.734,955.734,161.817,161.817,274.71,274.71,RB 11 13/16
RB 11 15/16,11.9375,37.484,111.866,996.835,996.835,167.009,167.009,283.523,283.523,RB 11 15/16
RB 11 3/16,11.1875,35.129,98.251,768.957,768.957,137.467,137.467,233.372,233.372,RB 11 3/16
RB 11 3/4,11.75,36.895,108.379,935.667,935.667,159.263,159.263,270.372,270.372,RB 11 3/4
RB 11 3/8,11.375,35.718,101.572,821.818,821.818,144.495,144.495,245.303,245.303,RB 11 3/8
RB 11 5/16,11.3125,35.521,100.459,803.904,803.904,142.127,142.127,241.282,241.282,RB 11 5/16
RB 11 5/8,11.625,36.503,106.085,896.482,896.482,154.234,154.234,261.835,261.835,RB 11 5/8
RB 11 7/16,11.4375,35.914,102.691,840.029,840.029,146.89,146.89,249.369,249.369,RB 11 7/16
RB 11 7/8,11.875,37.288,110.697,976.123,976.123,164.4,164.4,279.093,279.093,RB 11 7/8
RB 11 9/16,11.5625,36.306,104.948,877.358,877.358,151.759,151.759,257.634,257.634,RB 11 9/16
RB 11/16,0.6875,2.159,0.371,0.011,0.011,0.032,0.032,0.054,0.054,RB 11/16
RB 12,12,37.68,113.04,1017.876,1017.876,169.646,169.646,288,288,RB 12
RB 13/16,0.8125,2.551,0.518,0.021,0.021,0.053,0.053,0.089,0.089,RB 13/16
RB 15/16,0.9375,2.944,0.69,0.038,0.038,0.081,0.081,0.137,0.137,RB 15/16
RB 2,2,6.28,3.14,0.785,0.785,0.785,0.785,1.333,1.333,RB 2
RB 2 1/16,2.0625,6.476,3.339,0.888,0.888,0.861,0.861,1.462,1.462,RB 2 1/16
RB 2 1/2,2.5,7.85,4.906,1.917,1.917,1.534,1.534,2.604,2.604,RB 2 1/2
RB 2 1/4,2.25,7.065,3.974,1.258,1.258,1.118,1.118,1.898,1.898,RB 2 1/4
RB 2 1/8,2.125,6.673,3.545,1.001,1.001,0.942,0.942,1.599,1.599,RB 2 1/8
RB 2 11/16,2.6875,8.439,5.67,2.561,2.561,1.906,1.906,3.235,3.235,RB 2 11/16
RB 2 13/16,2.8125,8.831,6.209,3.071,3.071,2.184,2.184,3.708,3.708,RB 2 13/16
RB 2 15/16,2.9375,9.224,6.774,3.655,3.655,2.488,2.488,4.225,4.225,RB 2 15/16
RB 2 3/16,2.1875,6.869,3.756,1.124,1.124,1.028,1.028,1.745,1.745,RB 2 3/16
RB 2 3/4,2.75,8.635,5.937,2.807,2.807,2.042,2.042,3.466,3.466,RB 2 3/4
RB 2 3/8,2.375,7.458,4.428,1.562,1.562,1.315,1.315,2.233,2.233,RB 2 3/8
RB 2 5/16,2.3125,7.261,4.198,1.404,1.404,1.214,1.214,2.061,2.061,RB 2 5/16
RB 2 5/8,2.625,8.243,5.409,2.331,2.331,1.776,1.776,3.015,3.015,RB 2 5/8
RB 2 7/16,2.4375,7.654,4.664,1.733,1.733,1.422,1.422,2.414,2.414,RB 2 7/16
RB 2 7/8,2.875,9.028,6.489,3.354,3.354,2.333,2.333,3.961,3.961,RB 2 7/8
RB 2 9/16,2.5625,8.046,5.155,2.117,2.117,1.652,1.652,2.804,2.804,RB 2 9/16
RB 3,3,9.42,7.065,3.976,3.976,2.651,2.651,4.5,4.5,RB 3
RB 3 1/16,3.0625,9.616,7.362,4.318,4.318,2.82,2.82,4.787,4.787,RB 3 1/16
RB 3 1/2,3.5,10.99,9.616,7.366,7.366,4.209,4.209,7.146,7.146,RB 3 1/2
RB 3 1/4,3.25,10.205,8.292,5.477,5.477,3.37,3.37,5.721,5.721,RB 3 1/4
