,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RV 1,1,1,4,1,0.083,0.083,0.167,0.167,0.25,0.25,RV 1
RV 1 1/16,1.0625,1.0625,4.25,1.129,0.106,0.106,0.2,0.2,0.3,0.3,RV 1 1/16
RV 1 1/2,1.5,1.5,6,2.25,0.422,0.422,0.563,0.563,0.844,0.844,RV 1 1/2
RV 1 1/4,1.25,1.25,5,1.563,0.203,0.203,0.326,0.326,0.488,0.488,RV 1 1/4
RV 1 1/8,1.125,1.125,4.5,1.266,0.133,0.133,0.237,0.237,0.356,0.356,RV 1 1/8
RV 1 11/16,1.6875,1.6875,6.75,2.848,0.676,0.676,0.801,0.801,1.201,1.201,RV 1 11/16
RV 1 13/16,1.8125,1.8125,7.25,3.285,0.899,0.899,0.992,0.992,1.489,1.489,RV 1 13/16
RV 1 15/16,1.9375,1.9375,7.75,3.754,1.174,1.174,1.212,1.212,1.818,1.818,RV 1 15/16
RV 1 3/16,1.1875,1.1875,4.75,1.41,0.166,0.166,0.279,0.279,0.419,0.419,RV 1 3/16
RV 1 3/4,1.75,1.75,7,3.063,0.782,0.782,0.893,0.893,1.34,1.34,RV 1 3/4
RV 1 3/8,1.375,1.375,5.5,1.891,0.298,0.298,0.433,0.433,0.65,0.65,RV 1 3/8
RV 1 5/16,1.3125,1.3125,5.25,1.723,0.247,0.247,0.377,0.377,0.565,0.565,RV 1 5/16
RV 1 5/8,1.625,1.625,6.5,2.641,0.581,0.581,0.715,0.715,1.073,1.073,RV 1 5/8
RV 1 7/16,1.4375,1.4375,5.75,2.066,0.356,0.356,0.495,0.495,0.743,0.743,RV 1 7/16
