,W##other##,A##area##inches,d##length##inches,bf##length##inches,tf##length##inches,tw##length##inches,k##length##inches
WWF79x490,490,144,78.74,21.65,1.97,0.787,0.8125
WWF79x436,436,128,78.74,21.65,1.57,0.787,0.8125
WWF79x408,408,120,78.74,21.65,1.38,0.787,0.8125
WWF79x364,364,107,78.74,19.69,1.18,0.787,0.8125
WWF71x470,470,138,70.87,21.65,1.97,0.787,0.8125
WWF71x442,442,130,70.87,21.65,1.77,0.787,0.8125
WWF71x415,415,122,70.87,21.65,1.57,0.787,0.8125
WWF71x388,388,114,70.87,21.65,1.38,0.787,0.8125
WWF71x344,344,101,70.87,19.69,1.18,0.787,0.8125 
WWF63x419,419,123,62.99,21.65,1.97,0.63,0.75
WWF63x388,388,114,62.99,21.65,1.77,0.63,0.75
WWF63x361,361,106,62.99,21.65,1.57,0.63,0.75
WWF63x333,333,97.8,62.99,21.65,1.38,0.63,0.6875
WWF63x289,289,84.9,62.99,19.69,1.18,0.63,0.6875
WWF55x402,402,118,55.12,21.65,1.97,0.63,0.75
WWF55x344,344,101,55.12,21.65,1.57,0.63,0.75
WWF55x316,316,92.9,55.12,21.65,1.38,0.63,0.6875
WWF55x272,272,79.9,55.12,19.69,1.18,0.63,0.6875
WWF55x240,240,70.6,55.12,15.75,1.18,0.63,0.6875
WWF47x326,326,96.3,47.24,21.65,1.57,0.63,0.75
WWF47x281,281,82.5,47.24,19.69,1.38,0.63,0.6875
WWF47x255,255,75,47.24,19.69,1.18,0.63,0.6875
WWF47x224,224,65.7,47.24,15.75,1.18,0.63,0.6875
WWF47x203,203,59.7,47.24,15.75,0.984,0.63,0.6875
WWF47x176,176,52,47.24,11.81,0.984,0.63,0.6875
WWF43x307,307,90.6,43.31,21.65,1.57,0.551,0.6875
WWF43x260,260,76.8,43.31,19.69,1.38,0.551,0.625
WWF43x236,236,69.3,43.31,19.69,1.18,0.551,0.625
WWF43x204,204,60,43.31,15.75,1.18,0.551,0.625
WWF43x184,184,54,43.31,15.75,0.984,0.551,0.625
WWF43x157,157,46.2,43.31,11.81,0.984,0.551,0.625
WWF39x300,300,88.4,39.37,21.65,1.575,0.551,0.6875
WWF39x253,253,74.6,39.37,19.69,1.378,0.551,0.625
WWF39x228,228,67.1,39.37,19.69,1.181,0.551,0.625
WWF39x197,197,57.8,39.37,15.75,1.181,0.551,0.625
WWF39x176,176,51.8,39.37,15.75,0.984,0.551,0.625
WWF39x150,150,44.1,39.37,11.81,0.984,0.551,0.625
WWF39x134,134,39.6,39.37,11.81,0.787,0.551,0.625
WWF35x279,279,82.5,35.43,21.65,1.575,0.433,0.625
WWF35x233,233,68.6,35.43,19.69,1.378,0.433,0.5625
WWF35x208,208,61,35.43,19.69,1.181,0.433,0.5625
WWF35x176,176,51.7,35.43,15.75,1.181,0.433,0.5625
WWF35x156,156,45.7,35.43,15.75,0.984,0.433,0.5625
WWF35x128,128,37.9,35.43,11.81,0.984,0.433,0.5625
WWF35x113,113,33.5,35.43,11.81,0.787,0.433,0.5625
WWF31x228,228,66.9,31.5,19.69,1.378,0.433,0.5625
WWF31x202,202,59.3,31.5,19.69,1.181,0.433,0.5625
WWF31x170,170,50,31.5,15.75,1.181,0.433,0.5625
WWF31x150,150,44,31.5,15.75,0.984,0.433,0.5625
WWF31x123,123,36.2,31.5,11.81,0.984,0.433,0.5625
WWF31x108,108,31.8,31.5,11.81,0.787,0.433,0.5625
WWF28x164,164,48.3,27.56,15.75,1.181,0.433,0.5625
WWF28x144,144,42.3,27.56,15.75,0.984,0.433,0.5625
WWF28x132,132,38.7,27.56,15.75,0.866,0.433,0.5625
WWF28x117,117,34.5,27.56,11.81,0.984,0.433,0.5625
WWF28x102,102,30,27.56,11.81,0.787,0.433,0.5625
WWF26x580,580,170,25.59,25.59,2.362,2.362,1.625
WWF26x497,497,146,25.59,25.59,2.362,1.181,1
WWF26x402,402,118,25.59,25.59,1.969,0.787,0.8125
WWF26x336,336,98.5,25.59,25.59,1.575,0.787,0.8125
WWF26x269,269,79,25.59,25.59,1.181,0.787,0.8125
WWF24x531,531,157,23.62,23.62,2.362,2.362,1.625
WWF24x456,456,134,23.62,23.62,2.362,1.181,1
WWF24x371,371,109,23.62,23.62,1.969,0.787,0.8125
WWF24x309,309,90.8,23.62,23.62,1.575,0.787,0.8125
WWF24x248,248,72.8,23.62,23.62,1.181,0.787,0.8125
WWF22x484,484,143,21.65,21.65,2.362,2.362,1.875
WWF22x416,416,123,21.65,21.65,2.362,1.181,1
WWF22x338,338,99.5,21.65,21.65,1.969,0.787,0.8125
WWF22x282,282,83,21.65,21.65,1.575,0.787,0.8125
WWF22x188,188,55.2,21.65,21.65,0.984,0.63,0.6875
WWF20x437,437,129,19.69,19.69,2.362,2.362,1.875
WWF20x377,377,111,19.69,19.69,2.362,1.181,1
WWF20x306,306,90.2,19.69,19.69,1.969,0.787,0.8125
WWF20x256,256,75.3,19.69,19.69,1.575,0.787,0.8125
WWF20x230,230,67.9,19.69,19.69,1.378,0.787,0.8125
WWF20x205,205,60.4,19.69,19.69,1.181,0.787,0.8125
WWF20x185,185,54.6,19.69,19.69,1.102,0.63,0.8125
WWF20x170,170,50.1,19.69,19.69,0.984,0.63,0.8125
WWF20x150,150,44.2,19.69,19.69,0.866,0.551,0.625
WWF20x132,132,39,19.69,19.69,0.787,0.433,0.5625
WWF18x337,337,99.3,17.72,17.72,2.362,1.181,1
WWF18x275,275,80.9,17.72,17.72,1.969,0.787,0.8125
WWF18x229,229,67.5,17.72,17.72,1.575,0.787,0.8125
WWF18x207,207,60.9,17.72,17.72,1.378,0.787,0.8125
WWF18x184,184,54.2,17.72,17.72,1.181,0.787,0.8125
WWF18x166,166,49,17.72,17.72,1.102,0.63,0.6875
WWF18x152,152,45,17.72,17.72,0.984,0.63,0.6875
WWF18x134,134,39.7,17.72,17.72,0.866,0.551,0.625
WWF18x119,119,35.1,17.72,17.72,0.787,0.433,0.5625
WWF16x298,298,87.7,15.75,15.75,2.362,1.181,1
WWF16x243,243,71.6,15.75,15.75,1.969,0.787,0.8125
WWF16x203,203,59.8,15.75,15.75,1.575,0.787,0.8125
WWF16x183,183,53.9,15.75,15.75,1.378,0.787,0.8125
WWF16x163,163,48,15.75,15.75,1.181,0.787,0.8125
WWF16x147,147,43.4,15.75,15.75,1.102,0.63,0.6875
WWF16x135,135,39.9,15.75,15.75,0.984,0.63,0.6875
WWF16x119,119,35.2,15.75,15.75,0.866,0.551,0.625
WWF16x105,105,31.1,15.75,15.75,0.787,0.433,0.5625
WWF14x211,211,62.3,13.78,13.78,1.969,0.787,0.8125
WWF14x177,177,52,13.78,13.78,1.575,0.787,0.8125
WWF14x159,159,46.9,13.78,13.78,1.378,0.787,0.8125
WWF14x142,142,41.8,13.78,13.78,1.181,0.787,0.8125
WWF14x128,128,37.9,13.78,13.78,1.102,0.63,0.8125
WWF14x118,118,34.8,13.78,13.78,0.984,0.63,0.8125
WWF14x104,104,30.7,13.78,13.78,0.866,0.551,0.625
WWF14x92,92,27.2,13.78,13.78,0.787,0.433,0.5625
