,Laminations##other##,A##area##inches,Sx##other##,Ix##other##,Sy##other##,Iy##other##,d##length##inches,b##length##inches
2.5x6,4,15.00,15.00,45.00,6.25,7.81,6,2.5
2.5x7.5,5,18.75,23.44,87.89,7.81,9.77,7.5,2.5
2.5x9,6,22.50,33.75,151.9,9.38,11.72,9,2.5
2.5x10.5,7,26.25,45.94,241.2,10.94,13.67,10.5,2.5
2.5x12,8,30.00,60.00,360.0,12.50,15.63,12,2.5
2.5x13.5,9,33.75,75.94,512.6,14.06,17.58,13.5,2.5
2.5x15,10,37.50,93.75,703.1,15.63,19.53,15,2.5
2.5x16.5,11,41.25,113.4,935.9,17.19,21.48,16.5,2.5
2.5x18,12,45.00,135.0,1215,18.75,23.44,18,2.5
2.5x19.5,13,48.75,158.4,1545,20.31,25.39,19.5,2.5
2.5x21,14,52.50,183.8,1929,21.88,27.34,21,2.5
2.5x22.5,15,56.25,210.9,2373,23.44,29.30,22.5,2.5
2.5x24,16,60.00,240.0,2880,25.00,31.25,24,2.5
2.5x25.5,17,63.75,270.9,3454,26.56,33.20,25.5,2.5
2.5x27,18,67.50,303.8,4101,28.13,35.16,27,2.5
3.125x6,4,18.75,18.75,56.25,9.77,15.26,6,3.125
3.125x7.5,5,23.44,29.30,109.9,12.21,19.07,7.5,3.125
3.125x9,6,28.13,42.19,189.8,14.65,22.9,9,3.125
3.125x10.5,7,32.81,57.42,301.5,17.09,26.70,10.5,3.125
3.125x12,8,37.50,75.00,450.0,19.53,30.52,12,3.125
3.125x13.5,9,42.19,94.92,640.7,21.97,34.33,13.5,3.125
3.125x15,10,46.88,117.2,878.9,24.41,38.15,15,3.125
3.125x16.5,11,51.56,141.8,1170,26.86,41.96,16.5,3.125
3.125x18,12,56.25,168.8,1519,29.30,45.78,18,3.125
3.125x19.5,13,60.94,198.0,1931,31.74,49.59,19.5,3.125
3.125x21,14,65.63,229.7,2412,34.18,53.41,21,3.125
3.125x22.5,15,70.31,263.7,2966,36.62,57.22,22.5,3.125
3.125x24,16,75.00,300.0,3600,39.06,61.04,24,3.125
3.125x25.5,17,79.69,338.7,4318,41.50,64.85,25.5,3.125
3.125x27,18,84.38,379.7,5126,43.95,68.66,27,3.125
5.125x6,4,30.75,30.75,92.3,26.27,67.31,6,5.125
5.125x7.5,5,38.44,48.05,180.2,32.83,84.13,7.5,5.125
5.125x9,6,46.13,69.19,311.3,39.40,101.0,9,5.125
5.125x10.5,7,53.81,94.17,494.4,45.96,117.8,10.5,5.125
5.125x12,8,61.50,123.0,738.0,52.53,134.6,12,5.125
5.125x13.5,9,69.19,155.7,1051,59.10,151.4,13.5,5.125
5.125x15,10,76.88,192.2,1441,65.66,168.3,15,5.125
5.125x16.5,11,84.56,232.5,1919,72.23,185.1,16.5,5.125
5.125x18,12,92.25,276.8,2491,78.80,201.9,18,5.125
5.125x19.5,13,99.94,324.8,3167,85.36,218.7,19.5,5.125
5.125x21,14,107.6,376.7,3955,91.93,235.6,21,5.125
5.125x22.5,15,115.3,432.4,4865,98.50,252.4,22.5,5.125
5.125x24,16,123.0,492.0,5904,105.1,269.2,24,5.125
5.125x25.5,17,130.7,555.4,7082,111.6,286.0,25.5,5.125
5.125x27,18,138.4,622.7,8406,118.2,302.9,27,5.125
5.125x28.5,19,146.1,693.8,9887,124.8,319.7,28.5,5.125
5.125x30,20,153.8,768.8,11531,131.3,336.5,30,5.125
5.125x31.5,21,161.4,847.5,13349,137.9,353.4,31.5,5.125
5.125x33,22,169.1,930.2,15348,144.5,370.2,33,5.125
5.125x34.5,23,176.8,1017,17538,151.0,387.0,34.5,5.125
5.125x36,24,184.5,1107,19926,157.6,403.8,36,5.125
6.75x7.5,5,50.63,63.28,237.3,56.95,192.2,7.5,6.75
6.75x9,6,60.75,91.13,410.1,68.34,230.7,9,6.75
6.75x10.5,7,70.88,124.0,651.2,79.73,269.1,10.5,6.75
6.75x12,8,81.00,162.0,972.0,91.13,307.5,12,6.75
6.75x13.5,9,91.13,205.0,1384,102.5,346.0,13.5,6.75
6.75x15,10,101.3,253.1,1898,113.9,384.4,15,6.75
6.75x16.5,11,111.4,306.3,2527,125.3,422.9,16.5,6.75
6.75x18,12,121.5,364.5,3281,136.7,461.3,18,6.75
6.75x19.5,13,131.6,427.8,4171,148.1,499.8,19.5,6.75
6.75x21,14,141.8,496.1,5209,159.5,538.2,21,6.75
6.75x22.5,15,151.9,569.5,6407,170.9,576.7,22.5,6.75
6.75x24,16,162.0,648.0,7776,182.3,615.1,24,6.75
6.75x25.5,17,172.1,731.5,9327,193.6,653.5,25.5,6.75
6.75x27,18,182.3,820.1,11072,205.0,692.0,27,6.75
6.75x28.5,19,192.4,913.8,13021,216.4,730.4,28.5,6.75
