,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
HP14X117,117,34.4,14.21,14.885,0.805,0.805,1.5
HP14X102,102,30,14.01,14.785,0.705,0.705,1.375
HP14X89,89,26.1,13.83,14.695,0.615,0.615,1.313
HP14X73,73,21.4,13.61,14.585,0.505,0.505,1.188
HP12X84,84,24.6,12.28,12.295,0.685,0.685,1.375
HP12X74,74,21.8,12.13,12.215,0.61,0.61,1.313
HP12X63,63,18.4,11.94,12.125,0.515,0.515,1.25
HP12X53,53,15.5,11.78,12.045,0.435,0.435,1.125
HP10X57,57,16.8,9.99,10.225,0.565,0.565,1.25
HP10X42,42,12.4,9.7,10.075,0.42,0.42,1.125
HP8X36,36,10.6,8.02,8.155,0.445,0.445,1.125
