,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Flange Fillet##SECTION_PROPERTY##INCHES,Top Web Fillet##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Horizontal##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##INCHES,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##INCHES,Section Name Key##other##
L12X12X1-3/8,12,12,1.375,1.375,0.6875,0.6875,1.375,3.5,3.5,31.1,105,415,415,48.8,48.8,88.3,88.3,19.7,209,0,0,0,L12X12X1 3/8
L12X12X1-1/4,12,12,1.25,1.25,0.625,0.625,1.25,3.46,3.46,28.4,96.4,383,383,44.8,44.8,81,81,14.9,160,0,0,0,L12X12X1 1/4
L12X12X1-1/8,12,12,1.125,1.125,0.5625,0.5625,1.125,3.41,3.41,25.8,87.2,351,351,40.9,40.9,73.8,73.8,11.1,120,0,0,0,L12X12X1 1/8
L12X12X1,12,12,1,1,0.5,0.5,1,3.36,3.36,23,77.8,315,315,36.5,36.5,65.9,65.9,7.8,84.5,0,0,0,L12X12X1
L10X10X1-3/8,10,10,1.375,1.375,0.6875,0.6875,1.375,2.99,2.99,25.7,87.1,234,234,33.4,33.4,60.3,60.3,16.2,117,0,0,0,L10X10X1 3/8
L10X10X1-1/4,10,10,1.25,1.25,0.625,0.625,1.25,2.95,2.95,23.5,79.9,216,216,30.6,30.6,55.4,55.4,12.3,89.4,0,0,0,L10X10X1 1/4
L10X10X1-1/8,10,10,1.125,1.125,0.5625,0.5625,1.125,2.9,2.9,21.4,72.3,199,199,28,28,50.6,50.6,9.21,67.3,0,0,0,L10X10X1 1/8
L10X10X1,10,10,1,1,0.5,0.5,1,2.85,2.85,19.1,64.7,179,179,25,25,45.3,45.3,6.46,47.6,0,0,0,L10X10X1
L10X10X7/8,10,10,0.875,0.875,0.4375,0.4375,0.875,2.81,2.81,16.8,56.9,159,159,22.1,22.1,40,40,4.39,32.5,0,0,0,L10X10X7/8
L10X10X3/4,10,10,0.75,0.75,0.375,0.375,0.75,2.76,2.76,14.5,49.1,136,136,19.2,19.2,34.7,34.7,2.8,20.9,0,0,0,L10X10X3/4
