,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT22X167.5,15.9,22,1.77,1.03,0.79,16.47,49.2,167.5,2170,600,131,75.2,234,118,37.2,438,5.5,WT22X167.5
WT22X145,15.8,21.8,1.58,0.865,0.78,16.54,42.6,145,1830,521,111,65.9,196,102,25.4,275,5.5,WT22X145
WT22X131,15.8,21.7,1.42,0.785,0.78,16.51,38.5,131,1640,462,99.4,58.6,176,90.9,18.6,200,5.5,WT22X131
WT22X115,15.8,21.5,1.22,0.71,0.79,16.33,33.9,115,1440,398,88.6,50.5,157,78.3,12.4,139,5.5,WT22X115
WT20X296.5,16.7,21.5,3.23,1.79,1.18,15.84,87.2,296.5,3310,1260,209,151,379,240,221,2340,7.5,WT20X296.5
WT20X251.5,16.4,21,2.76,1.54,1.18,15.62,74,251.5,2730,1020,174,124,314,197,138,1400,7.5,WT20X251.5
WT20X215.5,16.2,20.6,2.36,1.34,1.18,15.42,63.3,215.5,2290,843,148,104,266,164,88.2,881,7.5,WT20X215.5
WT20X198.5,16.1,20.5,2.2,1.22,1.18,15.47,58.3,198.5,2070,771,134,95.7,240,150,70.6,677,7.5,WT20X198.5
WT20X186,16.1,20.3,2.05,1.16,1.18,15.32,54.7,186,1930,709,126,88.3,225,138,57.7,558,7.5,WT20X186
WT20X181,16,20.3,2.01,1.12,1.18,15.39,53.2,181,1870,691,122,86.3,217,135,54.2,511,7.5,WT20X181
WT20X162,15.9,20.1,1.81,1,1.18,15.33,47.7,162,1650,609,108,76.6,192,119,39.6,362,7.5,WT20X162
WT20X148.5,15.8,19.9,1.65,0.93,1.18,15.19,43.6,148.5,1500,546,98.9,69,176,107,30.5,279,7.5,WT20X148.5
WT20X138.5,15.8,19.8,1.58,0.83,1.18,15.3,40.7,138.5,1360,522,88.6,65.9,157,102,25.7,218,7.5,WT20X138.5
WT20X124.5,15.8,19.7,1.42,0.75,1.18,15.29,36.7,124.5,1210,463,79.4,58.8,140,90.8,19,158,7.5,WT20X124.5
WT20X107.5,15.8,19.5,1.22,0.65,1.18,15.22,31.8,107.5,1030,398,68,50.5,120,77.8,12.4,101,7.5,WT20X107.5
WT20X99.5,15.8,19.3,1.07,0.65,1.18,14.83,29.2,99.5,988,347,66.5,44.1,117,68.2,9.12,83.5,7.5,WT20X99.5
WT20X196,12.4,20.8,2.52,1.42,1.18,14.86,57.8,196,2270,401,153,64.9,275,106,85.4,796,7.5,WT20X196
WT20X165.5,12.2,20.4,2.13,1.22,1.18,14.66,48.8,165.5,1880,322,128,52.9,231,85.7,52.5,484,7.5,WT20X165.5
WT20X163.5,12.1,20.4,2.13,1.18,1.18,14.74,47.9,163.5,1840,320,125,52.7,224,85,51.4,449,7.5,WT20X163.5
WT20X147,12,20.2,1.93,1.06,1.18,14.69,43.1,147,1630,281,111,46.7,199,75,38.2,322,7.5,WT20X147
WT20X139,12,20.1,1.81,1.03,1.18,14.59,41,139,1550,261,106,43.5,191,69.9,32.4,282,7.5,WT20X139
WT20X132,11.9,20,1.73,0.96,1.18,14.59,38.7,132,1450,246,99.2,41.3,178,66,27.9,233,7.5,WT20X132
WT20X117.5,11.9,19.8,1.58,0.83,1.18,14.63,34.6,117.5,1260,222,85.7,37.3,153,59,20.6,156,7.5,WT20X117.5
WT20X105.5,11.8,19.7,1.42,0.75,1.18,14.62,31.1,105.5,1120,195,76.7,33,137,52.1,15.2,113,7.5,WT20X105.5
WT20X91.5,11.8,19.5,1.2,0.65,1.18,14.53,26.7,91.5,955,165,65.7,28,117,44,9.65,71.2,7.5,WT20X91.5
WT20X83.5,11.8,19.3,1.03,0.65,1.18,14.11,24.5,83.5,899,141,63.7,23.9,115,37.8,6.99,62.9,7.5,WT20X83.5
WT20X74.5,11.8,19.1,0.83,0.63,1.18,13.65,21.9,74.5,815,114,59.7,19.4,108,30.9,4.66,51.9,7.5,WT20X74.5
WT18X326,17.6,20.5,3.54,1.97,0.95,15.15,96.2,325,3160,1610,208,184,383,290,295,3070,7.5,WT18X326
WT18X264.5,17.2,19.9,2.91,1.61,0.95,14.94,77.8,264.5,2440,1240,164,145,298,227,163,1600,7.5,WT18X264.5
WT18X243.5,17.1,19.7,2.68,1.5,0.95,14.86,71.7,243.5,2220,1120,150,131,272,206,128,1250,7.5,WT18X243.5
