,Depth##length##inches,Wt##other##
18LH02,18,10
18LH03,18,11
18LH04,18,12
18LH05,18,15
18LH06,18,15
18LH07,18,17
18LH08,18,19
18LH09,18,21
20LH02,20,10
20LH03,20,11
20LH04,20,12
20LH05,20,14
20LH06,20,15
20LH07,20,17
20LH08,20,19
20LH09,20,21
20LH10,20,23
24LH03,24,11
24LH04,24,12
24LH05,24,13
24LH06,24,16
24LH07,24,17
24LH08,24,18
24LH09,24,21
24LH10,24,23
24LH11,24,25
28LH05,28,13
28LH06,28,16
28LH07,28,17
28LH08,28,18
28LH09,28,21
28LH10,28,23
28LH11,28,25
28LH12,28,27
28LH13,28,30
32LH06,32,14
32LH07,32,16
32LH08,32,17
32LH09,32,21
32LH10,32,21
32LH11,32,24
32LH12,32,27
32LH13,32,30
32LH14,32,33
32LH15,32,35
36LH07,36,16
36LH08,36,18
36LH09,36,21
36LH10,36,21
36LH11,36,23
36LH12,36,25
36LH13,36,30
36LH14,36,36
36LH15,36,36
40LH08,40,16
40LH09,40,21
40LH10,40,21
40LH11,40,22
40LH12,40,25
40LH13,40,30
40LH14,40,35
40LH15,40,36
40LH16,40,42
44LH09,44,19
44LH10,44,21
44LH11,44,22
44LH12,44,25
44LH13,44,30
44LH14,44,31
44LH15,44,36
44LH16,44,42
44LH17,44,47
48LH10,48,21
48LH11,48,22
48LH12,48,25
48LH13,48,29
48LH14,48,32
48LH15,48,36
48LH16,48,42
48LH17,48,47
