,Legs##other##,Space##length##inches,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,y##length##inches
2L8X8X1-1/8,Equal,0,114,33.6,8.00,8,1.125,2.40
2L8X8X1-1/8X3/8,Equal,0.375,114,33.6,8.00,8,1.125,2.40
2L8X8X1-1/8X3/4,Equal,0.75,114,33.6,8.00,8,1.125,2.40
2L8X8X1,Equal,0,103,30.2,8.00,8,1,2.36
2L8X8X1X3/8,Equal,0.375,103,30.2,8.00,8,1,2.36
2L8X8X1X3/4,Equal,0.75,103,30.2,8.00,8,1,2.36
2L8X8X7/8,Equal,0,90.6,26.6,8.00,8,0.875,2.31
2L8X8X7/8X3/8,Equal,0.375,90.6,26.6,8.00,8,0.875,2.31
2L8X8X7/8X3/4,Equal,0.75,90.6,26.6,8.00,8,0.875,2.31
2L8X8X3/4,Equal,0,78.4,23.0,8.00,8,0.75,2.26
2L8X8X3/4X3/8,Equal,0.375,78.4,23.0,8.00,8,0.75,2.26
2L8X8X3/4X3/4,Equal,0.75,78.4,23.0,8.00,8,0.75,2.26
2L8X8X5/8,Equal,0,66.0,19.4,8.00,8,0.625,2.21
2L8X8X5/8X3/8,Equal,0.375,66.0,19.4,8.00,8,0.625,2.21
2L8X8X5/8X3/4,Equal,0.75,66.0,19.4,8.00,8,0.625,2.21
2L8X8X9/16,Equal,0,59.7,17.5,8.00,8,0.5625,2.19
2L8X8X9/16X3/8,Equal,0.375,59.7,17.5,8.00,8,0.5625,2.19
2L8X8X9/16X3/4,Equal,0.75,59.7,17.5,8.00,8,0.5625,2.19
2L8X8X1/2,Equal,0,53.3,15.7,8.00,8,0.5,2.17
2L8X8X1/2X3/8,Equal,0.375,53.3,15.7,8.00,8,0.5,2.17
2L8X8X1/2X3/4,Equal,0.75,53.3,15.7,8.00,8,0.5,2.17
2L6X6X1,Equal,0,75.0,22.0,6.00,6,1,1.86
2L6X6X1X3/8,Equal,0.375,75.0,22.0,6.00,6,1,1.86
2L6X6X1X3/4,Equal,0.75,75.0,22.0,6.00,6,1,1.86
2L6X6X7/8,Equal,0,66.4,19.5,6.00,6,0.875,1.81
2L6X6X7/8X3/8,Equal,0.375,66.4,19.5,6.00,6,0.875,1.81
2L6X6X7/8X3/4,Equal,0.75,66.4,19.5,6.00,6,0.875,1.81
2L6X6X3/4,Equal,0,57.6,16.9,6.00,6,0.75,1.77
2L6X6X3/4X3/8,Equal,0.375,57.6,16.9,6.00,6,0.75,1.77
2L6X6X3/4X3/4,Equal,0.75,57.6,16.9,6.00,6,0.75,1.77
2L6X6X5/8,Equal,0,48.5,14.3,6.00,6,0.625,1.72
2L6X6X5/8X3/8,Equal,0.375,48.5,14.3,6.00,6,0.625,1.72
2L6X6X5/8X3/4,Equal,0.75,48.5,14.3,6.00,6,0.625,1.72
2L6X6X9/16,Equal,0,43.9,12.9,6.00,6,0.5625,1.70
2L6X6X9/16X3/8,Equal,0.375,43.9,12.9,6.00,6,0.5625,1.70
2L6X6X9/16X3/4,Equal,0.75,43.9,12.9,6.00,6,0.5625,1.70
2L6X6X1/2,Equal,0,39.3,11.5,6.00,6,0.5,1.67
2L6X6X1/2X3/8,Equal,0.375,39.3,11.5,6.00,6,0.5,1.67
2L6X6X1/2X3/4,Equal,0.75,39.3,11.5,6.00,6,0.5,1.67
2L6X6X7/16,Equal,0,34.6,10.2,6.00,6,0.4375,1.65
2L6X6X7/16X3/8,Equal,0.375,34.6,10.2,6.00,6,0.4375,1.65
2L6X6X7/16X3/4,Equal,0.75,34.6,10.2,6.00,6,0.4375,1.65
2L6X6X3/8,Equal,0,29.8,8.76,6.00,6,0.375,1.62
2L6X6X3/8X3/8,Equal,0.375,29.8,8.76,6.00,6,0.375,1.62
2L6X6X3/8X3/4,Equal,0.75,29.8,8.76,6.00,6,0.375,1.62
2L6X6X5/16,Equal,0,25.0,7.34,6.00,6,0.3125,1.60
2L6X6X5/16X3/8,Equal,0.375,25.0,7.34,6.00,6,0.3125,1.60
2L6X6X5/16X3/4,Equal,0.75,25.0,7.34,6.00,6,0.3125,1.60
2L5X5X7/8,Equal,0,54.6,16.0,5.00,5,0.875,1.56
2L5X5X7/8X3/8,Equal,0.375,54.6,16.0,5.00,5,0.875,1.56
2L5X5X7/8X3/4,Equal,0.75,54.6,16.0,5.00,5,0.875,1.56
2L5X5X3/4,Equal,0,47.5,14.0,5.00,5,0.75,1.52
2L5X5X3/4X3/8,Equal,0.375,47.5,14.0,5.00,5,0.75,1.52
2L5X5X3/4X3/4,Equal,0.75,47.5,14.0,5.00,5,0.75,1.52
2L5X5X5/8,Equal,0,40.1,11.8,5.00,5,0.625,1.47
2L5X5X5/8X3/8,Equal,0.375,40.1,11.8,5.00,5,0.625,1.47
2L5X5X5/8X3/4,Equal,0.75,40.1,11.8,5.00,5,0.625,1.47
2L5X5X1/2,Equal,0,32.6,9.58,5.00,5,0.5,1.42
2L5X5X1/2X3/8,Equal,0.375,32.6,9.58,5.00,5,0.5,1.42
2L5X5X1/2X3/4,Equal,0.75,32.6,9.58,5.00,5,0.5,1.42
2L5X5X7/16,Equal,0,28.7,8.44,5.00,5,0.4375,1.40
2L5X5X7/16X3/8,Equal,0.375,28.7,8.44,5.00,5,0.4375,1.40
2L5X5X7/16X3/4,Equal,0.75,28.7,8.44,5.00,5,0.4375,1.40
2L5X5X3/8,Equal,0,24.8,7.30,5.00,5,0.375,1.37
2L5X5X3/8X3/8,Equal,0.375,24.8,7.30,5.00,5,0.375,1.37
2L5X5X3/8X3/4,Equal,0.75,24.8,7.30,5.00,5,0.375,1.37
2L5X5X5/16,Equal,0,20.9,6.13,5.00,5,0.3125,1.35
2L5X5X5/16X3/8,Equal,0.375,20.9,6.13,5.00,5,0.3125,1.35
2L5X5X5/16X3/4,Equal,0.75,20.9,6.13,5.00,5,0.3125,1.35
2L4X4X3/4,Equal,0,37.0,10.9,4.00,4,0.75,1.27
2L4X4X3/4X3/8,Equal,0.375,37.0,10.9,4.00,4,0.75,1.27
2L4X4X3/4X3/4,Equal,0.75,37.0,10.9,4.00,4,0.75,1.27
2L4X4X5/8,Equal,0,31.3,9.21,4.00,4,0.625,1.22
2L4X4X5/8X3/8,Equal,0.375,31.3,9.21,4.00,4,0.625,1.22
2L4X4X5/8X3/4,Equal,0.75,31.3,9.21,4.00,4,0.625,1.22
2L4X4X1/2,Equal,0,25.5,7.49,4.00,4,0.5,1.18
2L4X4X1/2X3/8,Equal,0.375,25.5,7.49,4.00,4,0.5,1.18
2L4X4X1/2X3/4,Equal,0.75,25.5,7.49,4.00,4,0.5,1.18
2L4X4X7/16,Equal,0,22.5,6.61,4.00,4,0.4375,1.15
2L4X4X7/16X3/8,Equal,0.375,22.5,6.61,4.00,4,0.4375,1.15
2L4X4X7/16X3/4,Equal,0.75,22.5,6.61,4.00,4,0.4375,1.15
2L4X4X3/8,Equal,0,19.4,5.71,4.00,4,0.375,1.13
2L4X4X3/8X3/8,Equal,0.375,19.4,5.71,4.00,4,0.375,1.13
2L4X4X3/8X3/4,Equal,0.75,19.4,5.71,4.00,4,0.375,1.13
2L4X4X5/16,Equal,0,16.3,4.80,4.00,4,0.3125,1.11
2L4X4X5/16X3/8,Equal,0.375,16.3,4.80,4.00,4,0.3125,1.11
2L4X4X5/16X3/4,Equal,0.75,16.3,4.80,4.00,4,0.3125,1.11
2L4X4X1/4,Equal,0,13.2,3.87,4.00,4,0.25,1.08
2L4X4X1/4X3/8,Equal,0.375,13.2,3.87,4.00,4,0.25,1.08
2L4X4X1/4X3/4,Equal,0.75,13.2,3.87,4.00,4,0.25,1.08
2L3-1/2X3-1/2X1/2,Equal,0,22.2,6.53,3.50,3.5,0.5,1.05
2L3-1/2X3-1/2X1/2X3/8,Equal,0.375,22.2,6.53,3.50,3.5,0.5,1.05
