,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
S24X121,121,35.5,24.5,8.05,0.800,1.09,2.000
S24X106,106,31.1,24.5,7.87,0.620,1.09,2.000
S24X100,100,29.3,24.0,7.25,0.745,0.870,1.750
S24X90,90.0,26.5,24.0,7.13,0.625,0.870,1.750
S24X80,80.0,23.5,24.0,7.00,0.500,0.870,1.750
S20X96,96.0,28.2,20.3,7.20,0.800,0.920,1.750
S20X86,86.0,25.3,20.3,7.06,0.660,0.920,1.750
S20X75,75.0,22.0,20.0,6.39,0.635,0.795,1.625
S20X66,66.0,19.4,20.0,6.26,0.505,0.795,1.625
S18X70,70.0,20.5,18.0,6.25,0.711,0.691,1.500
S18X54.7,54.7,16.0,18.0,6.00,0.461,0.691,1.500
S15X50,50.0,14.7,15.0,5.64,0.550,0.622,1.375
S15X42.9,42.9,12.6,15.0,5.50,0.411,0.622,1.375
S12X50,50.0,14.6,12.0,5.48,0.687,0.659,1.4375
S12X40.8,40.8,11.9,12.0,5.25,0.462,0.659,1.4375
S12X35,35.0,10.2,12.0,5.08,0.428,0.544,1.1875
S12X31.8,31.8,9.31,12.0,5.00,0.350,0.544,1.1875
S10X35,35.0,10.3,10.0,4.94,0.594,0.491,1.125
S10X25.4,25.4,7.45,10.0,4.66,0.311,0.491,1.125
S8X23,23.0,6.76,8.00,4.17,0.441,0.425,1.000
S8X18.4,18.4,5.40,8.00,4.00,0.271,0.425,1.000
S6X17.2,17.3,5.06,6.00,3.57,0.465,0.359,0.8125
S6X12.5,12.5,3.66,6.00,3.33,0.232,0.359,0.8125
S5X10,10.0,2.93,5.00,3.00,0.214,0.326,0.750
S4X9.5,9.50,2.79,4.00,2.80,0.326,0.293,0.750
S4X7.7,7.70,2.26,4.00,2.66,0.193,0.293,0.750
S3X7.5,7.50,2.20,3.00,2.51,0.349,0.260,0.625
S3X5.7,5.70,1.66,3.00,2.33,0.170,0.260,0.625

