,Depth##length##inches,Wt##other##
80SLH15,80,40
80SLH16,80,46
80SLH17,80,53
80SLH18,80,60
80SLH19,80,67
80SLH20,80,75
88SLH16,88,46
88SLH17,88,51
88SLH18,88,58
88SLH19,88,65
88SLH20,88,76
88SLH21,88,89
96SLH17,96,52
96SLH18,96,58
96SLH19,96,66
96SLH20,96,74
96SLH21,96,90
96SLH22,96,102
104SLH18,104,59
104SLH19,104,67
104SLH20,104,75
104SLH21,104,90
104SLH22,104,104
104SLH23,104,109
112LSH19,112,67
112SLH20,112,76
112SLH21,112,91
112SLH22,112,104
112SLH23,112,110
112SLH24,112,131
120SLH20,120,77
120SLH21,120,92
120SLH22,120,104
120SLH23,120,111
120SLH24,120,132
120SLH25,120,152

