,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
ST12X60.5,60.5,17.8,12.3,8.05,0.800,1.09,2.000
ST12X53,53.0,15.6,12.3,7.87,0.620,1.09,2.000
ST12X50,50.0,14.7,12.0,7.25,0.745,0.870,1.750
ST12X45,45.0,13.2,12.0,7.13,0.625,0.870,1.750
ST12X40,40.0,11.7,12.0,7.00,0.500,0.870,1.750
ST10X48,48.0,14.1,10.2,7.20,0.800,0.920,1.750
ST10X43,43.0,12.7,10.2,7.06,0.660,0.920,1.750
ST10X37.5,37.5,11.0,10.0,6.39,0.635,0.795,1.625
ST10X33,33.0,9.69,10.0,6.26,0.505,0.795,1.625
ST9X35,35.0,10.3,9.00,6.25,0.711,0.691,1.500
ST9X27.35,27.4,8.02,9.00,6.00,0.461,0.691,1.500
ST7.5X25,25.0,7.34,7.50,5.64,0.550,0.622,1.375
ST7.5X21.45,21.5,6.30,7.50,5.50,0.411,0.622,1.375
ST6X25,25.0,7.32,6.00,5.48,0.687,0.659,1.4375
ST6X20.4,20.4,5.96,6.00,5.25,0.462,0.659,1.4375
ST6X17.5,17.5,5.12,6.00,5.08,0.428,0.544,1.1875
ST6X15.9,15.9,4.65,6.00,5.00,0.350,0.544,1.1875
ST5X17.5,17.5,5.14,5.00,4.94,0.594,0.491,1.125
ST5X12.7,12.7,3.73,5.00,4.66,0.311,0.491,1.125
ST4X11.5,11.5,3.38,4.00,4.17,0.441,0.425,1.000
ST4X9.2,9.20,2.70,4.00,4.00,0.271,0.425,1.00
ST3X8.6,8.60,2.53,3.00,3.57,0.465,0.359,0.8125
ST3X6.25,6.25,1.83,3.00,3.33,0.232,0.359,0.8125
ST2.5X5,5.00,1.47,2.50,3.00,0.214,0.326,0.750
ST2X4.75,4.75,1.39,2.00,2.80,0.326,0.293,0.750
ST2X3.85,3.85,1.13,2.00,2.66,0.193,0.293,0.750
ST1.5X3.75,3.75,1.10,1.50,2.51,0.349,0.260,0.625
ST1.5X2.85,2.85,0.830,1.50,2.33,0.170,0.260,0.625
