,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
WT22X167.5,168,49.2,22.0,15.9,1.03,1.77,2.625
WT22X145,145,42.7,21.8,15.8,0.865,1.58,2.4375
WT22X131,131,38.4,21.7,15.8,0.785,1.42,2.250
WT22X115,115,33.8,21.5,15.8,0.710,1.22,2.0625
WT20X296.5,296,87.2,21.5,16.7,1.79,3.23,4.500
WT20X251.5,252,73.9,21.0,16.4,1.54,2.76,4.000
WT20X215.5,215,63.4,20.6,16.2,1.34,2.36,3.625
WT20X198.5,198,58.4,20.5,16.1,1.22,2.20,3.500
WT20X186,186,54.6,20.3,16.1,1.16,2.05,3.3125
WT20X181,181,53.3,20.3,16.0,1.12,2.01,3.250
WT20X162,162,47.7,20.1,15.9,1.00,1.81,3.0625
WT20X148.5,148,43.7,19.9,15.8,0.930,1.65,2.9375
WT20X138.5,138,40.7,19.8,15.8,0.830,1.58,2.875
WT20X124.5,125,36.7,19.7,15.8,0.750,1.42,2.6875
WT20X107.5,108,31.7,19.5,15.8,0.650,1.22,2.500
WT20X99.5,100,29.2,19.3,15.8,0.650,1.07,2.3125
WT20X196,196,57.6,20.8,12.4,1.42,2.52,3.8125
WT20X165.5,166,48.7,20.4,12.2,1.22,2.13,3.375
WT20X163.5,164,48.0,20.4,12.1,1.18,2.13,3.375
WT20X147,147,43.1,20.2,12.0,1.06,1.93,3.1875
WT20X139,139,41.0,20.1,12.0,1.03,1.81,3.0625
WT20X132,132,38.8,20.0,11.9,0.960,1.73,3.000
WT20X117.5,118,34.5,19.8,11.9,0.830,1.58,2.875
WT20X105.5,106,31.0,19.7,11.8,0.750,1.42,2.6875
WT20X91.5,91.5,26.7,19.5,11.8,0.650,1.20,2.500
WT20X83.5,83.5,24.6,19.3,11.8,0.650,1.03,2.3125
WT20X74.5,74.5,21.9,19.1,11.8,0.630,0.830,2.125
WT18X400,400,118,21.0,18.0,2.38,4.29,5.5625
WT18X326,325,96.1,20.2,17.6,1.97,3.54,4.8125
WT18X264.5,264,77.8,19.6,17.2,1.61,2.91,4.1875
WT18X243.5,244,71.7,19.7,17.1,1.50,2.68,4.000
WT18X220.5,220,64.9,19.1,17.0,1.36,2.44,3.6875
WT18X197.5,198,58.2,18.9,16.8,1.22,2.20,3.4375
WT18X180.5,180,53.0,18.7,16.7,1.12,2.01,3.250
WT18X165,165,48.5,18.5,16.6,1.02,1.85,3.125
WT18X151,151,44.4,18.4,16.7,0.945,1.68,2.9375
WT18X141,141,41.5,18.3,16.6,0.885,1.57,2.8125
WT18X131,131,38.5,18.1,16.6,0.840,1.44,2.6875
WT18X123.5,124,36.3,18.0,16.5,0.800,1.35,2.625
WT18X116,116,34.5,18.6,12.1,0.870,1.57,2.4375
WT18X128,128,37.7,18.7,12.2,0.960,1.73,2.625
WT18X115.5,116,34.1,18.6,12.1,0.870,1.57,2.4375
WT18X105,105,30.9,18.3,12.2,0.830,1.36,2.3125
WT18X97,97.0,28.5,18.2,12.1,0.765,1.26,2.1875
WT18X91,91.0,26.8,18.2,12.1,0.725,1.18,2.125
WT18X85,85.0,25.0,18.1,12.0,0.680,1.10,2.000
WT18X80,80.0,23.5,18.0,12.0,0.650,1.02,1.9375
WT18X75,75.0,22.1,17.9,12.0,0.625,0.940,1.875
WT18X67.5,67.5,19.9,17.8,12.0,0.600,0.790,1.6875
WT16.5X193.5,194,57.0,18.0,16.2,1.26,2.28,3.1875
WT16.5X177,177,52.1,17.8,16.1,1.16,2.09,2.9375
WT16.5X159,159,46.8,17.6,16.0,1.04,1.89,2.750
WT16.5X145.5,146,42.8,17.4,15.9,0.960,1.73,2.625
WT16.5X131.5,132,38.7,17.3,15.8,0.870,1.57,2.4375
WT16.5X120.5,120,35.5,17.1,15.9,0.830,1.40,2.250
WT16.5X110.5,110,32.6,17.0,15.8,0.775,1.28,2.125
WT16.5X100.5,100,29.6,16.8,15.7,0.715,1.15,2.000
WT16.5X84.5,84.5,24.8,16.9,11.5,0.670,1.22,2.125
WT16.5X76,76.0,22.4,16.7,11.6,0.635,1.06,1.9375
WT16.5X70.5,70.5,20.8,16.7,11.5,0.605,0.960,1.8125
WT16.5X65,65.0,19.2,16.5,11.5,0.580,0.855,1.750
WT16.5X59,59.0,17.3,16.4,11.5,0.550,0.740,1.625
WT15X195.5,196,57.6,16.6,15.6,1.36,2.44,3.375
WT15X178.5,178,52.5,16.4,15.5,1.24,2.24,3.125
WT15X163,163,47.9,16.2,15.4,1.14,2.05,2.9375
WT15X146,146,42.9,16.0,15.3,1.02,1.85,2.750
WT15X130.5,130,38.4,15.8,15.2,0.930,1.65,2.5625
WT15X117.5,118,34.6,15.7,15.1,0.830,1.50,2.375
WT15X105.5,106,31.1,15.5,15.1,0.775,1.32,2.250
WT15X95.5,95.5,28.1,15.3,15.0,0.710,1.19,2.0625
WT15X86.5,86.5,25.5,15.2,15.0,0.655,1.07,2.000
WT15X74,74.0,21.7,15.3,10.5,0.650,1.18,2.0625
WT15X66,66.0,19.4,15.2,10.5,0.615,1.00,1.875
WT15X62,62.0,18.2,15.1,10.5,0.585,0.930,1.8125
WT15X58,58.0,17.1,15.0,10.5,0.565,0.850,1.750
WT15X54,54.0,15.9,14.9,10.5,0.545,0.760,1.6875
WT15X49.5,49.5,14.5,14.8,10.5,0.520,0.670,1.5625
WT15X45,45.0,13.2,14.8,10.4,0.470,0.610,1.500
WT13.5X269.5,270,79.3,16.3,15.3,1.97,3.54,4.4375
WT13.5X184,184,54.2,15.2,14.7,1.38,2.48,3.375
WT13.5X168,168,49.5,15.0,14.6,1.26,2.28,3.1875
WT13.5X153.5,154,45.2,14.8,14.4,1.16,2.09,3.000
