,A##area##inches,d##length##inches,b##length##inches
2x3,3.75,2.5,1.5
2x4,5.25,3.5,1.5
2x5,6.75,4.5,1.5
2x6,8.25,5.5,1.5
2x8,10.88,7.25,1.5
2x10,13.88,9.25,1.5
2x12,16.88,11.25,1.5
2x14,19.88,13.25,1.5
3x4,8.75,3.5,2.5
3x5,11.25,4.5,2.5
3x6,13.75,5.5,2.5
3x8,18.13,7.25,2.5
3x10,23.13,9.25,2.5
3x12,28.13,11.25,2.5
3x14,33.13,13.25,2.5
3x16,38.13,15.25,2.5
4x4,12.25,3.5,3.5
4x5,15.75,4.5,3.5
4x6,19.25,5.5,3.5
4x8,25.38,7.25,3.5
4x10,32.38,9.25,3.5
4x12,39.38,11.25,3.5
4x14,46.38,13.25,3.5
4x16,53.38,15.25,3.5
