,Laminations##other##,A##area##inches,Sx##other##,Ix##other##,Sy##other##,Iy##other##,d##length##inches,b##length##inches
3x5.5,4,16.50,15.13,41.59,8.25,12.38,5.5,3
3x6.875,5,20.63,23.63,81.24,10.31,15.47,6.875,3
3x8.25,6,24.75,34.03,140.4,12.38,18.56,8.25,3
3x9.625,7,28.88,46.32,222.9,14.44,21.66,9.625,3
3x11,8,33.00,60.50,332.8,16.50,24.75,11,3
3x12.375,9,37.13,76.57,473.8,18.56,27.84,12.375,3
3x13.75,10,41.25,94.53,649.9,20.63,30.94,13.75,3
3x15.125,11,45.38,114.4,865.0,22.69,34.03,15.125,3
3x16.5,12,49.50,136.1,1123,24.75,37.13,16.5,3
3x17.875,13,53.63,159.8,1428,26.81,40.22,17.875,3
3x19.25,14,57.75,185.3,1783,28.88,43.31,19.25,3
3x20.625,15,61.88,212.7,2193,30.94,46.41,20.625,3
3x22,16,66.00,242.0,2662,33.00,49.50,22,3
3x23.375,17,70.13,273.2,3193,35.06,52.59,23.375,3
3x24.75,18,74.25,306.3,3790,37.13,55.69,24.75,3
5x5.5,4,27.50,25.21,69.32,22.92,57.29,5.5,5
5x6.875,5,34.38,39.39,135.4,28.65,71.61,6.875,5
5x8.25,6,41.25,56.72,234.0,34.38,85.94,8.25,5
5x9.625,7,48.13,77.20,371.5,40.10,100.3,9.625,5
5x11,8,55.00,100.8,554.6,45.83,114.6,11,5
5x12.375,9,61.88,127.6,789.6,51.56,128.9,12.375,5
5x13.75,10,68.75,157.6,1083,57.29,143.2,13.75,5
5x15.125,11,75.63,190.6,1442,63.02,157.6,15.125,5
5x16.5,12,82.50,226.9,1872,68.75,171.9,16.5,5
5x17.875,13,89.38,266.3,2380,74.48,186.2,17.875,5
5x19.25,14,96.25,308.8,2972,80.21,200.5,19.25,5
5x20.625,15,103.1,354.5,3656,85.94,214.8,20.625,5
5x22,16,110.0,403.3,4437,91.67,229.2,22,5
5x23.375,17,116.9,455.3,5322,97.40,243.5,23.375,5
5x24.75,18,123.8,510.5,6317,103.1,257.8,24.75,5
5x26.125,19,130.6,568.8,7429,108.9,272.1,26.125,5
5x27.5,20,137.5,630.2,8665,114.6,286.5,27.5,5
5x28.875,21,144.4,694.8,10031,120.3,300.8,28.875,5
5x30.25,22,151.3,762.6,11534,126.0,315.1,30.25,5
5x31.625,23,158.1,833.5,13179,131.8,329.4,31.625,5
5x33,24,165.0,907.5,14974,137.5,343.8,33,5
5x34.375,25,171.9,984.7,16925,143.2,358.1,34.375,5
5x35.75,26,178.8,1065,19038,149.0,372.4,35.75,5
6.75x6.875,5,46.41,53.17,182.8,52.21,176.2,6.875,6.75
6.75x8.25,6,55.69,76.57,315.9,62.65,211.4,8.25,6.75
6.75x9.625,7,64.97,104.2,501.6,73.09,246.7,9.625,6.75
6.75x11,8,74.25,136.1,748.7,83.53,281.9,11,6.75
6.75x12.375,9,83.53,172.3,1066,93.97,317.2,12.375,6.75
6.75x13.75,10,92.81,212.7,1462,104.4,352.4,13.75,6.75
6.75x15.125,11,102.1,257.4,1946,114.9,387.6,15.125,6.75
6.75x16.5,12,111.4,306.3,2527,125.3,422.9,16.5,6.75
6.75x17.875,13,120.7,359.5,3213,135.7,458.1,17.875,6.75
6.75x19.25,14,129.9,416.9,4012,146.2,493.4,19.25,6.75
6.75x20.625,15,139.2,478.6,4935,156.6,528.6,20.625,6.75
6.75x22,16,148.5,544.5,5990,167.1,563.8,22,6.75
6.75x23.375,17,157.8,614.7,7184,177.5,599.1,23.375,6.75
6.75x24.75,18,167.1,689.1,8528,187.9,634.3,24.75,6.75
6.75x26.125,19,176.3,767.8,10030,198.4,669.6,26.125,6.75
6.75x27.5,20,185.6,850.8,11698,208.8,704.8,27.5,6.75
6.75x28.875,21,194.9,938.0,13542,219.3,740.0,28.875,6.75
6.75x30.25,22,204.2,1029,15570,229.7,775.3,30.25,6.75
6.75x31.625,23,213.5,1125,17792,240.2,810.5,31.625,6.75
6.75x33,24,222.8,1225,20215,250.6,845.8,33,6.75
6.75x34.375,25,232.0,1329,22848,261.0,881.0,34.375,6.75
6.75x35.75,26,241.3,1438,25701,271.5,916.2,35.75,6.75
6.75x37.125,27,250.6,1551,28782,281.9,951.5,37.125,6.75
6.75x38.5,28,259.9,1668,32100,292.4,986.7,38.5,6.75
6.75x39.875,29,269.2,1789,35664,302.8,1022,39.875,6.75
6.75x41.25,30,278.4,1914,39482,313.2,1057,41.25,6.75
6.75x42.625,31,287.7,2044,43563,323.7,1092,42.625,6.75
6.75x44,32,297.0,2178,47916,334.1,1128,44,6.75
6.75x45.375,33,306.3,2316,52550,344.6,1163,45.375,6.75
6.75x46.75,34,315.6,2459,57473,355.0,1198,46.75,6.75
6.75x48.125,35,324.8,2606,62695,365.4,1233,48.125,6.75
8.5x8.25,6,70.1,96.42,397.7,99.34,422.21,8.25,8.5
8.5x9.625,7,81.8,131.2,631.6,115.9,492.58,9.625,8.5
8.5x11,8,93.5,171.4,942.8,132.5,562.95,11,8.5
8.5x12.375,9,105.2,216.9,1342,149.0,633.32,12.375,8.5
8.5x13.75,10,116.9,267.8,1841,165.6,703.68,13.75,8.5
8.5x15.125,11,128.6,324.1,2451,182.1,774.05,15.125,8.5
8.5x16.5,12,140.3,385.7,3182,198.7,844.42,16.5,8.5
8.5x17.875,13,151.9,452.6,4046,215.2,914.79,17.875,8.5
8.5x19.25,14,163.6,525.0,5053,231.8,985.16,19.25,8.5
8.5x20.625,15,175.3,602.6,6215,248.4,1056,20.625,8.5
8.5x22,16,187.0,685.7,7542,264.9,1126,22,8.5
8.5x23.375,17,198.7,774.1,9047,281.5,1196,23.375,8.5
8.5x24.75,18,210.4,867.8,10739,298.0,1267,24.75,8.5
8.5x26.125,19,222.1,966.9,12630,314.6,1337,26.125,8.5
8.5x27.5,20,233.8,1071,14731,331.1,1407,27.5,8.5
8.5x28.875,21,245.4,1181,17053,347.7,1478,28.875,8.5
