,A##area##inches,d##length##inches,b##length##inches
5x5,20.25,4.5,4.5
6x6,30.25,5.5,5.5
6x8,41.25,7.5,5.5
6x10,52.25,9.5,5.5
6x12,63.25,11.5,5.5
6x14,74.25,13.5,5.5
6x16,85.25,15.5,5.5
6x18,96.25,17.5,5.5
6x20,107.3,19.5,5.5
6x22,118.3,21.5,5.5
6x24,129.3,23.5,5.5
8x8,56.25,7.5,7.5
8x10,71.25,9.5,7.5
8x12,86.25,11.5,7.5
8x14,101.3,13.5,7.5
8x16,116.3,15.5,7.5
8x18,131.3,17.5,7.5
8x20,146.3,19.5,7.5
8x22,161.3,21.5,7.5
8x24,176.3,23.5,7.5
10x10,90.25,9.5,9.5
10x12,109.3,11.5,9.5
10x14,128.3,13.5,9.5
10x16,147.3,15.5,9.5
10x18,166.3,17.5,9.5
10x20,185.3,19.5,9.5
10x22,204.3,21.5,9.5
10x24,223.3,23.5,9.5
12x12,132.3,11.5,11.5
12x14,155.3,13.5,11.5
12x16,178.3,15.5,11.5
12x18,201.3,17.5,11.5
12x20,224.3,19.5,11.5
12x22,247.3,21.5,11.5
12x24,270.3,23.5,11.5
14x14,182.3,13.5,13.5
14x16,209.3,15.5,13.5
14x18,236.3,17.5,13.5
14x20,263.3,19.5,13.5
14x22,290.3,21.5,13.5
14x24,317.3,23.5,13.5
16x16,240.3,15.5,15.5
16x18,271.3,17.5,15.5
16x20,302.3,19.5,15.5
16x22,333.3,21.5,15.5
16x24,364.3,23.5,15.5
18x18,306.3,17.5,17.5
18x20,341.3,19.5,17.5
18x22,376.3,21.5,17.5
18x24,411.3,23.5,17.5
20x20,380.3,19.5,19.5
20x22,419.3,21.5,19.5
20x24,458.3,23.5,19.5
22x22,462.3,21.5,21.5
22x24,505.3,23.5,21.5
24x24,552.3,23.5,23.5
