,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,k##length##inches,x##length##inches,y##length##inches
L8X8X1-1/8,57.2,16.70,8,8,1.125,1.750,2.400,2.400
L8X8X1,51.3,15.00,8,8,1.000,1.625,2.360,2.360
L8X8X7/8,45.3,13.20,8,8,0.875,1.500,2.310,2.310
L8X8X3/4,39.2,11.40,8,8,0.750,1.375,2.260,2.260
L8X8X5/8,33.0,9.61,8,8,0.625,1.250,2.210,2.210
L8X8X9/16,29.8,8.68,8,8,0.563,1.188,2.190,2.190
L8X8X1/2,26.7,7.75,8,8,0.500,1.125,2.170,2.170
L8X6X1,44.4,13.00,8,6,1.000,1.500,1.650,2.650
L8X6X7/8,39.3,11.50,8,6,0.875,1.375,1.600,2.600
L8X6X3/4,34.0,9.94,8,6,0.750,1.250,1.560,2.550
L8X6X5/8,28.6,8.36,8,6,0.625,1.125,1.510,2.500
L8X6X9/16,25.9,7.56,8,6,0.563,1.063,1.490,2.480
L8X6X1/2,23.2,6.75,8,6,0.500,1.000,1.460,2.460
L8X6X7/16,20.4,5.93,8,6,0.438,0.938,1.440,2.430
L8X4X1,37.6,11.00,8,4,1.000,1.500,1.040,3.030
L8X4X7/8,33.3,9.73,8,4,0.875,1.375,0.997,2.990
L8X4X3/4,28.9,8.44,8,4,0.750,1.250,0.949,2.940
L8X4X5/8,24.4,7.11,8,4,0.625,1.125,0.902,2.890
L8X4X9/16,22.1,6.43,8,4,0.563,1.063,0.878,2.860
L8X4X1/2,19.7,5.75,8,4,0.500,1.000,0.854,2.840
L8X4X7/16,17.4,5.06,8,4,0.438,0.938,0.829,2.810
L7X4X3/4,26.2,7.69,7,4,0.750,1.250,1.000,2.500
L7X4X5/8,22.1,6.48,7,4,0.625,1.125,0.958,2.450
L7X4X1/2,17.9,5.26,7,4,0.500,1.000,0.910,2.400
L7X4X7/16,15.8,4.63,7,4,0.438,0.938,0.886,2.380
L7X4X3/8,13.6,3.98,7,4,0.375,0.875,0.861,2.350
L6X6X1,37.5,11.00,6,6,1.000,1.500,1.860,1.860
L6X6X7/8,33.2,9.75,6,6,0.875,1.375,1.810,1.810
L6X6X3/4,28.8,8.46,6,6,0.750,1.250,1.770,1.770
L6X6X5/8,24.3,7.13,6,6,0.625,1.125,1.720,1.720
L6X6X9/16,22.0,6.45,6,6,0.563,1.063,1.700,1.700
L6X6X1/2,19.6,5.77,6,6,0.500,1.000,1.670,1.670
L6X6X7/16,17.3,5.08,6,6,0.438,0.938,1.650,1.650
L6X6X3/8,14.9,4.38,6,6,0.375,0.875,1.620,1.620
L6X6X5/16,12.5,3.67,6,6,0.313,0.813,1.600,1.600
L6X4X7/8,27.2,7.98,6,4,0.875,1.375,1.120,2.120
L6X4X3/4,23.6,6.94,6,4,0.750,1.250,1.070,2.070
L6X4X5/8,19.9,5.86,6,4,0.625,1.125,1.030,2.030
L6X4X9/16,18.1,5.31,6,4,0.563,1.063,1.000,2.000
L6X4X1/2,16.2,4.75,6,4,0.500,1.000,0.981,1.980
L6X4X7/16,14.2,4.18,6,4,0.438,0.938,0.957,1.950
L6X4X3/8,12.3,3.61,6,4,0.375,0.875,0.933,1.930
L6X4X5/16,10.3,3.03,6,4,0.313,0.813,0.908,1.900
L6X3-1/2X1/2,15.4,4.52,6,3.5,0.500,1.000,0.829,2.070
L6X3-1/2X3/8,11.7,3.44,6,3.5,0.375,0.875,0.781,2.020
L6X3-1/2X5/16,9.8,2.89,6,3.5,0.313,0.813,0.756,2.000
L5X5X7/8,27.3,8.02,5,5,0.875,1.375,1.560,1.560
L5X5X3/4,23.7,6.98,5,5,0.750,1.250,1.520,1.520
L5X5X5/8,20.1,5.90,5,5,0.625,1.125,1.470,1.470
L5X5X1/2,16.3,4.79,5,5,0.500,1.000,1.420,1.420
L5X5X7/16,14.4,4.22,5,5,0.438,0.938,1.400,1.400
L5X5X3/8,12.4,3.65,5,5,0.375,0.875,1.370,1.370
L5X5X5/16,10.4,3.07,5,5,0.313,0.813,1.350,1.350
L5X3-1/2X3/4,19.8,5.82,5,3.5,0.750,1.188,0.993,1.740
L5X3-1/2X5/8,16.8,4.93,5,3.5,0.625,1.063,0.947,1.690
L5X3-1/2X1/2,13.6,4.00,5,3.5,0.500,0.938,0.901,1.650
L5X3-1/2X3/8,10.4,3.05,5,3.5,0.375,0.813,0.854,1.600
L5X3-1/2X5/16,8.7,2.56,5,3.5,0.313,0.750,0.829,1.570
