,W##other##,A##area##inches,d##length##inches,tw##length##inches,bf##length##inches,tf##length##inches,x##length##inches
C15X50,50,14.7,15,0.716,3.716,0.65,0.799
C15X40,40,11.8,15,0.52,3.52,0.65,0.778
C15X33.9,33.9,10,15,0.4,3.4,0.65,0.788
C12X30,30,8.8,12,0.51,3.17,0.501,0.674
C12X25,25,7.4,12,0.387,3.047,0.501,0.674
C12X20.7,20.7,6.1,12,0.282,2.942,0.501,0.698
C10X30,30,8.8,10,0.673,3.033,0.436,0.649
C10X25,25,7.4,10,0.526,2.886,0.436,0.617
C10X20,20,5.9,10,0.379,2.739,0.436,0.606
C10X15.3,15.3,4.5,10,0.24,2.6,0.436,0.634
C9X20,20,5.9,9,0.448,2.648,0.413,0.583
C9X15,15,4.4,9,0.285,2.485,0.413,0.586
C9X13.4,13.4,3.9,9,0.233,2.433,0.413,0.601
C8X18.5,18.75,5.5,8,0.487,2.527,0.39,0.565
C8X13.7,13.75,4,8,0.303,2.343,0.39,0.554
C8X11.5,11.5,3.4,8,0.22,2.26,0.39,0.572
C7X14.7,14.75,4.3,7,0.419,2.299,0.366,0.532
C7X12.2,12.25,3.6,7,0.314,2.194,0.366,0.525
C7X9.8,9.8,2.9,7,0.21,2.09,0.366,0.541
C6X13,13,3.8,6,0.437,2.157,0.343,0.514
C6X10.5,10.5,3.1,6,0.314,2.034,0.343,0.5
C6X8.2,8.2,2.4,6,0.2,1.92,0.343,0.512
C5X9,9,2.6,5,0.325,1.885,0.32,0.478
C5X6.7,6.7,2,5,0.19,1.75,0.32,0.484
C4X7.2,7.25,2.1,4,0.321,1.721,0.296,0.459
C4X5.4,5.4,1.6,4,0.184,1.584,0.296,0.457
C4X4.5,4.5,1.3,4,0.125,1.584,0.296,0.493
C3X6,6,1.8,3,0.356,1.596,0.273,0.455
C3X5,5,1.5,3,0.258,1.498,0.273,0.439
C3X4.1,4.1,1.2,3,0.17,1.41,0.273,0.437
C3X3.5,3.5,1,3,0.132,1.372,0.273,0.443
