,Width##length##inches,Height##length##inches
18"" x 32"",18,32
18"" x 36"",18,36
18"" x 42"",18,42
18"" x 46"",18,46
18"" x 52"",18,52
18"" x 56"",18,56
18"" x 62"",18,62
20"" x 32"",20,32
20"" x 36"",20,36
20"" x 42"",20,42
20"" x 46"",20,46
20"" x 52"",20,52
20"" x 56"",20,56
20"" x 62"",20,62
24"" x 32"",24,32
24"" x 36"",24,36
24"" x 42"",24,42
24"" x 46"",24,46
24"" x 52"",24,52
24"" x 56"",24,56
24"" x 62"",24,62
26"" x 32"",26,32
26"" x 36"",26,36
26"" x 42"",26,42
26"" x 46"",26,46
26"" x 52"",26,52
26"" x 56"",26,56
26"" x 62"",26,62
28"" x 32"",28,32
28"" x 36"",28,36
28"" x 42"",28,42
28"" x 46"",28,46
28"" x 52"",28,52
28"" x 56"",28,56
28"" x 62"",28,62
30"" x 32"",30,32
30"" x 36"",30,36
30"" x 42"",30,42
30"" x 46"",30,46
30"" x 52"",30,52
30"" x 56"",30,56
30"" x 62"",30,62
34"" x 32"",34,32
34"" x 36"",34,36
34"" x 42"",34,42
34"" x 46"",34,46
34"" x 52"",34,52
34"" x 56"",34,56
34"" x 62"",34,62
38"" x 32"",38,32
38"" x 36"",38,36
38"" x 42"",38,42
38"" x 46"",38,46
38"" x 52"",38,52
38"" x 56"",38,56
38"" x 62"",38,62
